IndicatorName,VariableID,SurveySouce,DatasetSource,InUse
AccessElectricity,H11,BOTH,HR+HH,Y
AdolescentBirthRate,,BOTH,IR+WM,N
AllViolence,V10,DHS,IR,Y
BankAccount,B11,DHS,IR,Y
BankAccountPR,B12,DHS,PR,Y
BankCard,B13,MICS,,N
BankCardHH,B14,MICS,HR+HH,Y
BasicWater,H12,BOTH,HR+HH,Y
ChildHealth,,BOTH,PR+CH,N
ChildMarriage15,,BOTH,,N
ChildMarriage18,,BOTH,,N
CleanFuel,H13,BOTH,HR+HH,Y
CleanWater,,BOTH,,N
ContraceptiveMethod,W11,BOTH,IR+WM,Y
Covid,C11,BOTH,PR+HL,Y
EarlyChildBearing,,,,N
EmotionalViolence,V11,,,Y
FinancialInclusion,I14,BOTH,IR+WM,Y
HandwashHL,C12,MICS,,N
HandWashPR,C13,DHS,,N
HealthInsurance,I11,,,N
HigherEducation2535,E11,,,Y
HigherEducation35plus,E13,,,Y
HouseholdBasic,,BOTH,,N
HouseholdTechNeed,,BOTH,,N
InternetUse,I12,,,Y
Land,,BOTH,,N
LearningHL,C14,BOTH,,N
LearningPR,C15,BOTH,,N
MobilePhone,I13,BOTH,IR+WM,Y
MobilePhoneHH,H14,MICS,,N
MobilePhonePR,H15,DHS,,Y
MultiDeprivation,,BOTH,,N
NoChildMarriage15,,BOTH,,N
NoChildMarriage18,,BOTH,,N
NoEarlyChildbearing,,BOTH,,N
NoSexualViolence,V12,,,Y
NotCrowdedHL,C16,,,N
NotCrowdedPR,C17,,,N
NotOverweight,K11,,,Y
NotStunting,K12,,,Y
NotWasting,K13,,,Y
NoViolenceJustifiedAgainstWomen,V16,,,Y
Overweight,K15,,,Y
PhysicalViolence,V17,,,Y
ProfessionalHelp,W12,,,Y
ReasonBeating,V15,MICS,,Y
SafeSanitation,H16,BOTH,HR+HH,Y
SafeSanitationHL,C18,,,N
SafeSanitationPR,C19,,,N
SecondaryEducation2035,E14,,,Y
SecondaryEducation35plus,E16,,,Y
SexualPhysicalViolence,V13,,,Y
SexualViolence,V14,,,Y
Stunting,K16,,,Y
TeenagePregnancy,,,,N
TeenPregnancy,,,,N
Wasting,K17,,,Y
WaterOnsitePR,C20,,,N
WaterOnstieHL,C21,,,N
