"IndicatorName","SurveyID","FormularString","Latest...1.x","Sample.Size.x","Overall.Mean.x","Max.Leaf.Size.x","Max.Leaf.Access.x","Min.Leaf.Size.x","Min.Leaf.Access.x","Max.Leaf.Characteristics.x","Min.Leaf.Characteristics.x","InUse.x","Latest...1.y","Sample.Size.y","Overall.Mean.y","Max.Leaf.Size.y","Max.Leaf.Access.y","Min.Leaf.Size.y","Min.Leaf.Access.y","Max.Leaf.Characteristics.y","Min.Leaf.Characteristics.y","InUse.y","VariableID","DatasetSource","MergeResult","AnaResult","Country_ISO","Year","TreeID"
"AccessElectricity","AFG2010","HighestEducation+PoorerHousehold+Residence","0","13116.000075",0.432169681883751,"0.099809073994687",0.915851644204546,"0.421629490269734","0.165327622862409","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Secondary + Higher","MIN-leaf // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","AFG","2010","AFG+2010+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","BGD2019","Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence","1","61241.9999999999",0.918710747963034,"0.58568729064554",0.998001708047108,"0.046541634356791","0.742248521503318","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // Religion~HINDU + MinorReligion","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","BGD","2019","BGD+2019+AccessElectricity+Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence"
"AccessElectricity","BGD2019","HighestEducation+PoorerHousehold+Residence","1","61241.9999999999",0.918710747963034,"0.58568729064554",0.998001708047108,"0.262637966637844","0.78941469045737","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","BGD","2019","BGD+2019+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","NPL7H","HighestEducation+PoorerHousehold+Residence","0.5","11040.000096",0.904811220392946,"0.189904719453728",0.999068432066769,"0.167893035496582","0.705076620319398","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Higher","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","NPL","2016","NPL+2016+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","THA2019","HighestEducation+Language+PoorerHousehold+Religion+Residence","1","35604",0.998538717758101,"0.545303958561925",0.999988258278556,"0.041441312080714","0.990422236020256","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // Language~MinorLanguage","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","THA","2019","THA+2019+AccessElectricity+HighestEducation+Language+PoorerHousehold+Religion+Residence"
"AccessElectricity","THA2019","HighestEducation+PoorerHousehold+Residence","1","35604",0.998538717758101,"0.545303958561925",0.999988258278556,"0.115363875186548","0.994882367282797","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower // Residence~Urban","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","THA","2019","THA+2019+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","KHM61","HighestEducation+PoorerHousehold+Residence","0","15667.000201",0.310813775868158,"0.169302103272504",0.913143113201382,"0.406010109618439","0.012244305616985","MAX-leaf // Residence ~ Urban","MIN-leaf // Residence~Rural // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","KHM","2010","KHM+2010+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","MNG2013","Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence","0","14805",0.81170061539534,"0.500929528839105",0.992426755379014,"0.122593842558555","0.322617972371445","MAX-leaf // Residence ~ Urban // PoorerHousehold ~ 0","MIN-leaf // Residence~Rural // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","MNG","2013","MNG+2013+AccessElectricity+Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence"
"AccessElectricity","KGZ61","HighestEducation+PoorerHousehold+Residence","0","8040.000028",0.99808515846438,"0.312008721550215",0.999569610354966,"0.170869995922343","0.996371478403036","MAX-leaf // Residence ~ Rural // PoorerHousehold ~ 0","MIN-leaf // Residence~Rural // PoorerHousehold~1 // HighestEducation~Higher","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","KGZ","2012","KGZ+2012+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","AFG2010","Ethnicity+HighestEducation+PoorerHousehold+Residence","0","13116.000075",0.432169681883751,"0.099809073994687",0.915851644204546,"0.148531675042706","0.062500721039785","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Secondary + Higher","MIN-leaf // PoorerHousehold~1 // Ethnicity~Pashto","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","AFG","2010","AFG+2010+AccessElectricity+Ethnicity+HighestEducation+PoorerHousehold+Residence"
