IndicatorName,Country_ISO,Year,FormularString,Source.x,Sample.Size.x,Overall.Mean.x,Max.Leaf.Size.x,Max.Leaf.Access.x,Min.Leaf.Size.x,Min.Leaf.Access.x,Max.Leaf.Characteristics.x,Min.Leaf.Characteristics.x,Sample.Size.y,Overall.Mean.y,Max.Leaf.Size.y,Max.Leaf.Access.y,Min.Leaf.Size.y,Min.Leaf.Access.y,Max.Leaf.Characteristics.y,Min.Leaf.Characteristics.y,data2,SurveyID,Country,SurveySource,CountryCode,VersionCode,MetadataFile,InUse.x,VariableID,SurveySouce,DatasetSource,InUse.y,TreeID,MergeResult,AnaResult
ContraceptiveMethod,TON,2019,aGroup+Education+NUnder5+PoorerHousehold+Residence,MICS,937.52,0.46,0.29,0.53,0.14,0.30,MAX-leaf // aGroup ~ 35+ // PoorerHousehold ~ 0,MIN-leaf // aGroup~15-24,942.92,0.46,0.10,0.58,0.09,0.26,MAX-leaf // aGroup ~ 35+ // NUnder5 ~ 1 // PoorerHousehold ~ 0,MIN-leaf // aGroup~15-24 // NUnder5~0 + 1,1,TON2019,Tonga,MICS,Tonga,2019,,Y,W11,BOTH,IR+WM,Y,TON+2019+ContraceptiveMethod+aGroup+Education+NUnder5+PoorerHousehold+Residence,Both,Two
ContraceptiveMethod,TON,2019,aGroup+Education+NUnder5+PoorerHousehold+Residence,MICS,937.52,0.46,0.29,0.53,0.14,0.30,MAX-leaf // aGroup ~ 35+ // PoorerHousehold ~ 0,MIN-leaf // aGroup~15-24,942.92,0.46,0.10,0.58,0.09,0.26,MAX-leaf // aGroup ~ 35+ // NUnder5 ~ 1 // PoorerHousehold ~ 0,MIN-leaf // aGroup~15-24 // NUnder5~0 + 1,1,TON2019,Tonga (5 pc),MICS,Tonga (5 pc),2019,,Y,W11,BOTH,IR+WM,Y,TON+2019+ContraceptiveMethod+aGroup+Education+NUnder5+PoorerHousehold+Residence,Both,Two
ContraceptiveMethod,TON,2019,aGroup+Education+NUnder5+PoorerHousehold+Residence,MICS,942.92,0.46,0.10,0.58,0.09,0.26,MAX-leaf // aGroup ~ 35+ // NUnder5 ~ 1 // PoorerHousehold ~ 0,MIN-leaf // aGroup~15-24 // NUnder5~0 + 1,937.52,0.46,0.29,0.53,0.14,0.30,MAX-leaf // aGroup ~ 35+ // PoorerHousehold ~ 0,MIN-leaf // aGroup~15-24,1,TON2019,Tonga,MICS,Tonga,2019,,Y,W11,BOTH,IR+WM,Y,TON+2019+ContraceptiveMethod+aGroup+Education+NUnder5+PoorerHousehold+Residence,Both,Two
ContraceptiveMethod,BTN,2010,aGroup+Education+NUnder5+PoorerHousehold+Residence,MICS,"8,400.59",0.78,0.16,0.86,0.18,0.66,MAX-leaf // aGroup ~ 35+ // PoorerHousehold ~ 1,MIN-leaf // aGroup~15-24,"8,400.59",0.78,0.11,0.88,0.18,0.66,MAX-leaf // aGroup ~ 35+ // PoorerHousehold ~ 1 // NUnder5 ~ 0,MIN-leaf // aGroup~15-24,1,BTN2010,Bhutan,MICS,Bhutan,2010,,Y,W11,BOTH,IR+WM,Y,BTN+2010+ContraceptiveMethod+aGroup+Education+NUnder5+PoorerHousehold+Residence,Both,Two
ContraceptiveMethod,BTN,2010,aGroup+Education+NUnder5+PoorerHousehold+Residence,MICS,"8,400.59",0.78,0.11,0.88,0.18,0.66,MAX-leaf // aGroup ~ 35+ // PoorerHousehold ~ 1 // NUnder5 ~ 0,MIN-leaf // aGroup~15-24,"8,400.59",0.78,0.16,0.86,0.18,0.66,MAX-leaf // aGroup ~ 35+ // PoorerHousehold ~ 1,MIN-leaf // aGroup~15-24,1,BTN2010,Bhutan,MICS,Bhutan,2010,,Y,W11,BOTH,IR+WM,Y,BTN+2010+ContraceptiveMethod+aGroup+Education+NUnder5+PoorerHousehold+Residence,Both,Two
ContraceptiveMethod,TON,2019,aGroup+Education+NUnder5+PoorerHousehold+Residence,MICS,942.92,0.46,0.10,0.58,0.09,0.26,MAX-leaf // aGroup ~ 35+ // NUnder5 ~ 1 // PoorerHousehold ~ 0,MIN-leaf // aGroup~15-24 // NUnder5~0 + 1,937.52,0.46,0.29,0.53,0.14,0.30,MAX-leaf // aGroup ~ 35+ // PoorerHousehold ~ 0,MIN-leaf // aGroup~15-24,1,TON2019,Tonga (5 pc),MICS,Tonga (5 pc),2019,,Y,W11,BOTH,IR+WM,Y,TON+2019+ContraceptiveMethod+aGroup+Education+NUnder5+PoorerHousehold+Residence,Both,Two
HigherEducation35+,BTN,2010,PoorerHousehold+Residence+Sex,MICS,"21,267.26",0.02,0.11,0.13,0.46,0.00,MAX-leaf // Residence ~ Urban // Sex ~ Male,MIN-leaf // Residence~Rural // PoorerHousehold~1,"21,267.26",0.02,0.20,0.08,0.46,0.00,MAX-leaf // Residence ~ Urban,MIN-leaf // Residence~Rural // PoorerHousehold~1,1,BTN2010,Bhutan,MICS,Bhutan,2010,,Y,E12,,,Y,BTN+2010+HigherEducation35++PoorerHousehold+Residence+Sex,Both,Two
HigherEducation35+,BTN,2010,PoorerHousehold+Residence+Sex,MICS,"21,267.26",0.02,0.20,0.08,0.46,0.00,MAX-leaf // Residence ~ Urban,MIN-leaf // Residence~Rural // PoorerHousehold~1,"21,267.26",0.02,0.11,0.13,0.46,0.00,MAX-leaf // Residence ~ Urban // Sex ~ Male,MIN-leaf // Residence~Rural // PoorerHousehold~1,1,BTN2010,Bhutan,MICS,Bhutan,2010,,Y,E12,,,Y,BTN+2010+HigherEducation35++PoorerHousehold+Residence+Sex,Both,Two
InternetUse,TON,2019,aGroup+Education+PoorerHousehold+Residence+Sex,MICS,"4,135.00",0.80,0.26,0.88,0.14,0.65,MAX-leaf // aGroup ~ 25-34,MIN-leaf // aGroup~35+ // PoorerHousehold~1,"4,135.00",0.80,0.07,0.91,0.14,0.65,MAX-leaf // aGroup ~ 25-34 // Sex ~ Male,MIN-leaf // aGroup~35+ // PoorerHousehold~1,1,TON2019,Tonga,MICS,Tonga,2019,,Y,I12,,,Y,TON+2019+InternetUse+aGroup+Education+PoorerHousehold+Residence+Sex,Both,Two
InternetUse,TON,2019,aGroup+Education+PoorerHousehold+Residence+Sex,MICS,"4,135.00",0.80,0.07,0.91,0.14,0.65,MAX-leaf // aGroup ~ 25-34 // Sex ~ Male,MIN-leaf // aGroup~35+ // PoorerHousehold~1,"4,135.00",0.80,0.26,0.88,0.14,0.65,MAX-leaf // aGroup ~ 25-34,MIN-leaf // aGroup~35+ // PoorerHousehold~1,1,TON2019,Tonga (5 pc),MICS,Tonga (5 pc),2019,,Y,I12,,,Y,TON+2019+InternetUse+aGroup+Education+PoorerHousehold+Residence+Sex,Both,Two
