"IndicatorName","Country_ISO","Year","FormularString","Latest...1.x","Sample.Size.x","Overall.Mean.x","Max.Leaf.Size.x","Max.Leaf.Access.x","Min.Leaf.Size.x","Min.Leaf.Access.x","Max.Leaf.Characteristics.x","Min.Leaf.Characteristics.x","Latest...1.y","Sample.Size.y","Overall.Mean.y","Max.Leaf.Size.y","Max.Leaf.Access.y","Min.Leaf.Size.y","Min.Leaf.Access.y","Max.Leaf.Characteristics.y","Min.Leaf.Characteristics.y","SurveyID","Country","SurveySource","CountryCode","VersionCode","InUse.x","VariableID","DatasetSource","InUse.y","MergeResult","AnaResult","TreeID"
"AccessElectricity","AFG","2010","Ethnicity+HighestEducation+PoorerHousehold+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AFG2010","Afghanistan","MICS","Afghanistan","2010","Y","H11","HR+HH","Y","Other","Other","AFG+2010+AccessElectricity+Ethnicity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","AFG","2010","HighestEducation+PoorerHousehold+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AFG2010","Afghanistan","MICS","Afghanistan","2010","Y","H11","HR+HH","Y","Other","Other","AFG+2010+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","LAO","2011","Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAO2011","Lao PDR","MICS","Lao PDR","2011","N","H11","HR+HH","Y","Other","Other","LAO+2011+AccessElectricity+Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence"
"AccessElectricity","LAO","2011","Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAO2011","Lao","MICS","Lao","2011","Y","H11","HR+HH","Y","Other","Other","LAO+2011+AccessElectricity+Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence"
"AccessElectricity","LAO","2011","HighestEducation+PoorerHousehold+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAO2011","Lao PDR","MICS","Lao PDR","2011","N","H11","HR+HH","Y","Other","Other","LAO+2011+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","IDN","2017","HighestEducation+PoorerHousehold+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IDN71","Indonesia","DHS","ID","71","Y","H11","HR+HH","Y","Other","Other","IDN+2017+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","TJK","2017","HighestEducation+PoorerHousehold+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TJK70","Tajikistan","DHS","TJ","70","Y","H11","HR+HH","Y","Other","Other","TJK+2017+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","BGD","2011","HighestEducation+PoorerHousehold+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BGD61","Bangladesh","DHS","BD","61","Y","H11","HR+HH","Y","Other","Other","BGD+2011+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","BGD","2019","HighestEducation+PoorerHousehold+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BGD2019","Bangladesh","MICS","Bangladesh","2019","Y","H11","HR+HH","Y","Other","Other","BGD+2019+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","KHM","2014","HighestEducation+PoorerHousehold+Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KHM72","Cambodia","DHS","KH","72","Y","H11","HR+HH","Y","Other","Other","KHM+2014+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
