"SurveyIndicator","IndicatorName.x","SurveyID","meanY","maxY","minY","Source","dataOrlando","surveyID","country_code","version_code","dataset","IndicatorName.y","MeanY","SurveySource","dataValidation","IndicatorName"
"AFG2010+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"AFG2010","Afghanistan","2010","wm","NoViolenceJustifiedAgainstWomen","0.0975164818316314","MICS",1,"NoViolenceJustifiedAgainstWomen"
"AFG70+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"AFG70","AF","70","HR","BankCardHH","0.115242427753567","DHS",1,"BankCardHH"
"AFG70+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"AFG70","AF","70","PR","MobilePhonePR","0.883668042593665","DHS",1,"MobilePhonePR"
"AFG70+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"AFG70","AF","70","IR","NoSexualViolence","0.925912304546314","DHS",1,"NoSexualViolence"
"ARM61+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"ARM61","AM","61","HR","BankCardHH","0.262845550328298","DHS",1,"BankCardHH"
"ARM61+Covid",NA,NA,NA,NA,NA,NA,NA,"ARM61","AM","61","PR","Covid","0.457373211535186","DHS",1,"Covid"
"ARM71+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"ARM71","AM","71","HR","BankCardHH","0.379633249829817","DHS",1,"BankCardHH"
"ARM71+FinancialInclusion",NA,NA,NA,NA,NA,NA,NA,"ARM71","AM","71","IR","FinancialInclusion","0.368036678325301","DHS",1,"FinancialInclusion"
"ARM71+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"ARM71","AM","71","PR","MobilePhonePR","0.981507626612317","DHS",1,"MobilePhonePR"
"ARM71+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"ARM71","AM","71","IR","NoSexualViolence","0.98933574572233","DHS",1,"NoSexualViolence"
"ARM71+ProfessionalHelp",NA,NA,NA,NA,NA,NA,NA,"ARM71","AM","71","IR","ProfessionalHelp","1","DHS",1,"ProfessionalHelp"
"BGD61+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"BGD61","BD","61","HR","BankCardHH","0.271949244226137","DHS",1,"BankCardHH"
"BGD61+Covid",NA,NA,NA,NA,NA,NA,NA,"BGD61","BD","61","PR","Covid","0.0766987655064234","DHS",1,"Covid"
"BGD61+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"BGD61","BD","61","PR","MobilePhonePR","0.816385915044008","DHS",1,"MobilePhonePR"
"BGD70+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"BGD70","BD","70","HR","BankCardHH","0.305759114011381","DHS",1,"BankCardHH"
"BTN2010+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"BTN2010","Bhutan","2010","wm","NoViolenceJustifiedAgainstWomen","0.315748799599728","MICS",1,"NoViolenceJustifiedAgainstWomen"
"GEO2018+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"GEO2018","Georgia","2018","wm","NoViolenceJustifiedAgainstWomen","1","MICS",1,"NoViolenceJustifiedAgainstWomen"
"IDN63+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"IDN63","ID","63","HR","BankCardHH","0.372699658897093","DHS",1,"BankCardHH"
"IDN63+Covid",NA,NA,NA,NA,NA,NA,NA,"IDN63","ID","63","PR","Covid","0.217390279755108","DHS",1,"Covid"
