ID,Source,Type,Type_Code,Country,Year,Latest = 1,Additional variables,Indicator Name,Formula,Sample Size,Overall Mean,Max Leaf Size,Max Leaf Access,Min Leaf Size,Min Leaf Access,Gap,Max Leaf Characteristics,Min Leaf Characteristics,Most imp. Var.,2nd var,3rd var,4th var,5th var,,,
Afghanistan2010MICShhAccessElectricity ,MICS,Household,hh,Afghanistan,2010,0,No,AccessElectricity , PoorerHousehold + Residence + HighestEducation,13116.000075,0.432169681883751,0.099809073994687,0.915851644204546,0.421629490269734,0.165327622862409,0.750524021342137,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Secondary + Higher,MIN-leaf // PoorerHousehold~1,PoorerHousehold,Residence,HighestEducation,,,,,
,MICS,Household,,Afghanistan,2010,0,Yes,AccessElectricity , PoorerHousehold + Residence + HighestEducation + Ethnicity,13116.000075,0.432169681883751,0.099809073994687,0.915851644204546,0.148531675042706,0.062500721039785,0.853350923164761,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Secondary + Higher,MIN-leaf // PoorerHousehold~1 // Ethnicity~Pashto,PoorerHousehold,Residence,Ethnicity,HighestEducation,,,,
Afghanistan2010MICShhBankCardHH ,MICS,Household,hh,Afghanistan,2010,0,No,BankCardHH , PoorerHousehold + Residence + HighestEducation,13116.000075,0.055570403463878,0.075752041881565,0.236360840715705,0.413019670785571,0.00770047045741,0.228660370258295,MAX-leaf // HighestEducation ~ Higher,MIN-leaf // HighestEducation~Lower + Secondary // PoorerHousehold~1,HighestEducation,PoorerHousehold,Residence,,,,,
,MICS,Household,,Afghanistan,2010,0,Yes,BankCardHH , PoorerHousehold + Residence + HighestEducation + Ethnicity,13116.000075,0.055570403463878,0.075752041881565,0.236360840715705,0.413019670785571,0.00770047045741,0.228660370258295,MAX-leaf // HighestEducation ~ Higher,MIN-leaf // HighestEducation~Lower + Secondary // PoorerHousehold~1,HighestEducation,PoorerHousehold,Residence,Ethnicity,,,,
Afghanistan2010MICShhBasicWater ,MICS,Household,hh,Afghanistan,2010,0,No,BasicWater , PoorerHousehold + Residence + HighestEducation,13116.000075,0.502815056136693,0.099809073994687,0.838062903083656,0.421629490269734,0.295816194013101,0.542246709070555,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Secondary + Higher,MIN-leaf // PoorerHousehold~1,PoorerHousehold,Residence,HighestEducation,,,,,
Afghanistan2015DHSHRBasicWater ,DHS,Household,HR,Afghanistan,2015,1,No,BasicWater , PoorerHousehold + Residence + HighestEducation,24395.000069,0.582784755146049,0.243498588899304,0.847969863063826,0.223929721194868,0.342776343788202,0.505193519275624,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban,MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower,PoorerHousehold,Residence,HighestEducation,,,,,
,MICS,Household,,Afghanistan,2010,0,Yes,BasicWater , PoorerHousehold + Residence + HighestEducation + Ethnicity,13116.000075,0.502815056136693,0.099809073994687,0.838062903083656,0.091133523724076,0.215105771661879,0.622957131421777,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Secondary + Higher,MIN-leaf // PoorerHousehold~1 // Ethnicity~MinorEthnicity + Uzbek/Turkmen,PoorerHousehold,Ethnicity,Residence,HighestEducation,,,,
Afghanistan2010MICShhCleanFuel ,MICS,Household,hh,Afghanistan,2010,0,No,CleanFuel , PoorerHousehold + Residence + HighestEducation,13116.000075,0.165096462535664,0.100906010401955,0.754989787403732,0.415629538718192,0.001535515191121,0.753454272212611,MAX-leaf // Residence ~ Urban // HighestEducation ~ Secondary + Higher,MIN-leaf // Residence~Rural // PoorerHousehold~1,Residence,PoorerHousehold,HighestEducation,,,,,
,MICS,Household,,Afghanistan,2010,0,Yes,CleanFuel , PoorerHousehold + Residence + HighestEducation + Ethnicity,13116.000075,0.165096462535664,0.035650558045609,0.844395428806523,0.415629538718192,0.001535515191121,0.842859913615401,MAX-leaf // Residence ~ Urban // HighestEducation ~ Higher,MIN-leaf // Residence~Rural // PoorerHousehold~1,Residence,HighestEducation,PoorerHousehold,Ethnicity,,,,
Afghanistan2010MICShhCleanWater ,MICS,Household,hh,Afghanistan,2010,0,No,CleanWater , PoorerHousehold + Residence + HighestEducation,13116.000075,0.557841636868091,0.099809073994687,0.865908261985122,0.421629490269734,0.365754770659956,0.500153491325166,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Secondary + Higher,MIN-leaf // PoorerHousehold~1,PoorerHousehold,Residence,HighestEducation,,,,,
