"SurveyIndicator","IndicatorName.x","SurveyID","meanY","maxY","minY","Source","dataOrlando","surveyID","country_code","version_code","dataset","IndicatorName.y","MeanY","SurveySource","dataValidation","IndicatorName"
"AFG2010+ContraceptiveMethod","ContraceptiveMethod","AFG2010","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"ContraceptiveMethod"
"AFG2010+InternetUse","InternetUse","AFG2010","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"InternetUse"
"AFG2010+MobilePhone","MobilePhone","AFG2010","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"AFG2010+NotOverweight","NotOverweight","AFG2010","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"NotOverweight"
"AFG2010+NotStunting","NotStunting","AFG2010","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"NotStunting"
"AFG2010+NotWasting","NotWasting","AFG2010","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"NotWasting"
"AFG2010+Overweight","Overweight","AFG2010","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"Overweight"
"AFG2010+Stunting","Stunting","AFG2010","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"Stunting"
"AFG2010+Wasting","Wasting","AFG2010","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"Wasting"
"BTN2010+InternetUse","InternetUse","BTN2010","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"InternetUse"
"BTN2010+MobilePhone","MobilePhone","BTN2010","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"GEO2018+InternetUse","InternetUse","GEO2018","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"InternetUse"
"GEO2018+MobilePhone","MobilePhone","GEO2018","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"GEO2018+ReasonBeating","ReasonBeating","GEO2018","1000","1000","1000","MICS",1,"GEO2018","Georgia","2018","wm","ReasonBeating","0","MICS",1,"ReasonBeating"
"KAZ2010+MobilePhone","MobilePhone","KAZ2010","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"KAZ2015+MobilePhone","MobilePhone","KAZ2015","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"KGZ2014+MobilePhone","MobilePhone","KGZ2014","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"LAO2011+MobilePhone","MobilePhone","LAO2011","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"MNG2013+MobilePhone","MobilePhone","MNG2013","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"MNG2013+ReasonBeating","ReasonBeating","MNG2013","1000","1000","1000","MICS",1,"MNG2013","Mongolia","2013","wm","ReasonBeating","0","MICS",1,"ReasonBeating"
"THA2012+InternetUse","InternetUse","THA2012","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"InternetUse"
"THA2012+MobilePhone","MobilePhone","THA2012","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"THA2015+InternetUse","InternetUse","THA2015","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"InternetUse"
"THA2015+MobilePhone","MobilePhone","THA2015","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"TKM2015+MobilePhone","MobilePhone","TKM2015","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"VNM2010+InternetUse","InternetUse","VNM2010","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"InternetUse"
"VNM2010+MobilePhone","MobilePhone","VNM2010","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"VNM2013+NotOverweight","NotOverweight","VNM2013","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"NotOverweight"
"VNM2013+NotStunting","NotStunting","VNM2013","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"NotStunting"
"VNM2013+NotWasting","NotWasting","VNM2013","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"NotWasting"
"VNM2013+Overweight","Overweight","VNM2013","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"Overweight"
"VNM2013+Stunting","Stunting","VNM2013","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"Stunting"
"VNM2013+Wasting","Wasting","VNM2013","1000","1000","1000","MICS",1,NA,NA,NA,NA,NA,NA,NA,NA,"Wasting"
