Source,Type,Country,Year,Latest = 1,Additional variables,Analysis,Sample Size,Overall Mean,Max Leaf Size,Max Leaf Access,Min Leaf Size,Min Leaf Access,Gap,Max Leaf Characteristics,Min Leaf Characteristics,Most imp. Var.,2nd var,3rd var,4th var,5th var,6th var,7th var,8th var
MICS,Children,Afghanistan,2010,1,No,NotOverweight,No Analysis,,,,,,0,,,,,,,,,,
MICS,Children,Afghanistan,2010,1,No,NotWasting,No Analysis,,,,,,0,,,,,,,,,,
MICS,Children,Afghanistan,2010,1,No,NotStunting,No Analysis,,,,,,0,,,,,,,,,,
MICS,Children,Afghanistan,2010,1,No,Overweight,No Analysis,,,,,,0,,,,,,,,,,
MICS,Children,Afghanistan,2010,1,No,Wasting,No Analysis,,,,,,0,,,,,,,,,,
MICS,Children,Afghanistan,2010,1,No,Stunting,No Analysis,,,,,,0,,,,,,,,,,
MICS,Children,Afghanistan,2010,1,No,ChildHealth,No Analysis,,,,,,0,,,,,,,,,,
MICS,Children,Afghanistan,2010,1,No,NotOverweight,No Analysis,,,,,,0,,,,,,,,,,
MICS,Children,Afghanistan,2010,1,No,NotWasting,No Analysis,,,,,,0,,,,,,,,,,
MICS,Children,Afghanistan,2010,1,No,NotStunting,No Analysis,,,,,,0,,,,,,,,,,
MICS,Children,Afghanistan,2010,1,No,Overweight,No Analysis,,,,,,0,,,,,,,,,,
MICS,Children,Afghanistan,2010,1,No,Wasting,No Analysis,,,,,,0,,,,,,,,,,
MICS,Children,Afghanistan,2010,1,No,Stunting,No Analysis,,,,,,0,,,,,,,,,,
MICS,Children,Afghanistan,2010,1,No,ChildHealth,No Analysis,,,,,,0,,,,,,,,,,
DHS,Children,Armenia,2010,0,No,NotStunting ~ PoorerHousehold + Residence + MotherEducation + Under5 + Sex,1334.9543,0.806301994008334,0.128521341142539,0.875274526973715,0.268888537982161,0.759770592831822,0.115503934141893,MAX-leaf // MotherEducation ~ Secondary + Higher // Under5 ~ 0 + 2 + 3 + 4 + 5 // Sex ~ Female,MIN-leaf // MotherEducation~Lower // Residence~Rural,MotherEducation,Under5,Residence,PoorerHousehold,Sex,,,
DHS,Children,Armenia,2010,0,No,NotOverweight ~ PoorerHousehold + Residence + MotherEducation + Under5 + Sex,1334.9543,0.84610539926348,0.225867865289471,0.883854798102852,0.252103437548386,0.806032097168793,0.077822700934059,MAX-leaf // Sex ~ Female // Under5 ~ 0 + 2 + 4 + 5,MIN-leaf // Sex~Male // Under5~2 + 3,Under5,Sex,PoorerHousehold,Residence,MotherEducation,,,
DHS,Children,Armenia,2010,0,No,NotWasting ~ PoorerHousehold + Residence + MotherEducation + Under5 + Sex,1334.9543,0.959385045615419,0.30368096046434,0.988750518734322,0.270429028169728,0.925372619603855,0.063377899130467,MAX-leaf // MotherEducation ~ Secondary,MIN-leaf // MotherEducation~Lower // PoorerHousehold~1,MotherEducation,PoorerHousehold,Residence,Under5,,,,
DHS,Children,Armenia,2010,0,No,ChildHealth ~ PoorerHousehold + Residence + MotherEducation + Under5 + Sex,1334.9543,0.737596292996696,0.128521341142539,0.83279499075005,0.268888537982161,0.651102948008006,0.181692042742044,MAX-leaf // MotherEducation ~ Secondary + Higher // Under5 ~ 0 + 2 + 3 + 4 + 5 // Sex ~ Female,MIN-leaf // MotherEducation~Lower // Residence~Rural,MotherEducation,Residence,PoorerHousehold,Under5,Sex,,,
DHS,Children,Armenia,2010,0,No,Stunting ~ PoorerHousehold + Residence + MotherEducation + Under5 + Sex,1334.9543,0.193698005991666,0.268888537982161,0.24022940716818,0.128521341142539,0.124725473026285,0.115503934141895,MAX-leaf // MotherEducation ~ Lower // Residence ~ Rural,MIN-leaf // MotherEducation~Secondary + Higher // Under5~0 + 2 + 3 + 4 + 5 // Sex~Female,MotherEducation,Under5,Residence,PoorerHousehold,Sex,,,
DHS,Children,Armenia,2010,0,No,Overweight ~ PoorerHousehold + Residence + MotherEducation + Under5 + Sex,1334.9543,0.15389460073652,0.252103437548386,0.193967902831207,0.225867865289471,0.116145201897149,0.077822700934058,MAX-leaf // Sex ~ Male // Under5 ~ 2 + 3,MIN-leaf // Sex~Female // Under5~0 + 2 + 4 + 5,Under5,Sex,PoorerHousehold,Residence,MotherEducation,,,
DHS,Children,Armenia,2010,0,No,Wasting ~ PoorerHousehold + Residence + MotherEducation + Under5 + Sex,1334.9543,0.040614954384581,0.270429028169728,0.074627380396145,0.30368096046434,0.011249481265678,0.063377899130467,MAX-leaf // MotherEducation ~ Lower // PoorerHousehold ~ 1,MIN-leaf // MotherEducation~Secondary,MotherEducation,PoorerHousehold,Residence,Under5,,,,
DHS,Children,Armenia,2015-2016,1,No,NotStunting ~ PoorerHousehold + Residence + MotherEducation + Under5 + Sex,1572.330725,0.905846598526528,0.168027052323868,0.967483842002723,0.091758403436402,0.834980799837078,0.132503042165645,MAX-leaf // Residence ~ Urban // Under5 ~ 0 + 1 + 3 // Sex ~ Female,MIN-leaf // Residence~Rural // PoorerHousehold~0,Residence,PoorerHousehold,Under5,MotherEducation,Sex,,,
DHS,Children,Armenia,2015-2016,1,No,NotOverweight ~ PoorerHousehold + Residence + MotherEducation + Under5 + Sex,1557.046798,0.861773737773038,0.222925426805316,0.912227951952866,0.205595762061353,0.815072944810832,0.097155007142034,MAX-leaf // Residence ~ Urban // Under5 ~ 0 + 1 // MotherEducation ~ Higher,MIN-leaf // Residence~Rural // Under5~1,Residence,Under5,PoorerHousehold,MotherEducation,,,,
DHS,Children,Armenia,2015-2016,1,No,NotWasting ~ PoorerHousehold + Residence + MotherEducation + Under5 + Sex,1557.046798,0.957609346048699,0.233618201756837,0.989171297420719,0.126249416043563,0.924074087912827,0.065097209507892,MAX-leaf // MotherEducation ~ Higher // Under5 ~ 2 + 3,MIN-leaf // MotherEducation~Lower + Secondary // Residence~Rural // Under5~2,MotherEducation,Under5,Residence,PoorerHousehold,,,,
DHS,Children,Armenia,2015-2016,1,No,ChildHealth ~ PoorerHousehold + Residence + MotherEducation + Under5 + Sex,1543.343799,0.803363498660093,0.338911916022154,0.864681502651475,0.182461477593302,0.707787020057718,0.156894482593757,MAX-leaf // Residence ~ Urban // Under5 ~ 0 + 1 + 3,MIN-leaf // Residence~Rural // Under5~2,Residence,PoorerHousehold,MotherEducation,Under5,,,,
