"TreeID","IndicatorName.x","SurveyID.x","FormularString.x","Latest...1.x","Sample.Size.x","Overall.Mean.x","Max.Leaf.Size.x","Max.Leaf.Access.x","Min.Leaf.Size.x","Min.Leaf.Access.x","Max.Leaf.Characteristics.x","Min.Leaf.Characteristics.x","InUse.x.x","Latest...1.y","Sample.Size.y","Overall.Mean.y","Max.Leaf.Size.y","Max.Leaf.Access.y","Min.Leaf.Size.y","Min.Leaf.Access.y","Max.Leaf.Characteristics.y","Min.Leaf.Characteristics.y","InUse.y.x","VariableID.x","DatasetSource.x","MergeResult","AnaResult","Country_ISO.x","Year.x","data1","IndicatorName.y","Country_ISO.y","Year.y","Analysis","Sample.Size","Overall.Mean","Max.Leaf.Size","Max.Leaf.Access","Min.Leaf.Size","Min.Leaf.Access","Max.Leaf.Characteristics","Min.Leaf.Characteristics","FormularString.y","SurveyID.y","Country","Year.y","SurveySource","CountryCode","VersionCode","MetadataFile","InUse.x.y","MICS_Education_data","AdditionalVariables","Religion_data","Ethnicity_data","Language_data","VariableID.y","SurveySouce","DatasetSource.y","InUse.y.y","data2"
"AFG+2010+AccessElectricity+Ethnicity+HighestEducation+PoorerHousehold+Residence","AccessElectricity","AFG2010","Ethnicity+HighestEducation+PoorerHousehold+Residence","0","13116.000075","0.432169681883751","0.099809073994687","0.915851644204546","0.148531675042706","0.062500721039785","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Secondary + Higher","MIN-leaf // PoorerHousehold~1 // Ethnicity~Pashto","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","Both","All","AFG","2010",1,"AccessElectricity","AFG","2010","AccessElectricity~PoorerHousehold+Residence+HighestEducation+Ethnicity","13116.000075","0.432169681883751","0.122234511804849","0.913875117238015","0.148531675042706","0.062500721039785","MAX-leaf//PoorerHousehold~0//Residence~Urban//HighestEducation~Secondary+Higher","MIN-leaf//PoorerHousehold~1//Ethnicity~Pashto","Ethnicity+HighestEducation+PoorerHousehold+Residence","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","H11","BOTH","HR+HH","Y",1
"AFG+2010+AccessElectricity+HighestEducation+PoorerHousehold+Residence","AccessElectricity","AFG2010","HighestEducation+PoorerHousehold+Residence","0","13116.000075","0.432169681883751","0.099809073994687","0.915851644204546","0.421629490269734","0.165327622862409","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Secondary + Higher","MIN-leaf // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","Both","All","AFG","2010",1,"AccessElectricity","AFG","2010","AccessElectricity~PoorerHousehold+Residence+HighestEducation","13116.000075","0.432169681883751","0.179010546399372","0.889084723174649","0.315802051411624","0.159726939041508","MAX-leaf//PoorerHousehold~0//Residence~Urban","MIN-leaf//PoorerHousehold~1//HighestEducation~Lower","HighestEducation+PoorerHousehold+Residence","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","H11","BOTH","HR+HH","Y",1
"AFG+2010+BankCardHH+Ethnicity+HighestEducation+PoorerHousehold+Residence","BankCardHH","AFG2010","Ethnicity+HighestEducation+PoorerHousehold+Residence","0","13116.000075","0.055570403463878","0.075752041881565","0.236360840715705","0.413019670785571","0.00770047045741","MAX-leaf // HighestEducation ~ Higher","MIN-leaf // HighestEducation~Lower + Secondary // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","B14","HR+HH","Both","All","AFG","2010",1,"BankCardHH","AFG","2010","BankCardHH~PoorerHousehold+Residence+HighestEducation+Ethnicity","13116.000075","0.055570403463878","0.075752041881564","0.236360840715706","0.311148179297338","0.004220505640446","MAX-leaf//HighestEducation~Higher","MIN-leaf//HighestEducation~Lower//Residence~Rural//PoorerHousehold~1","Ethnicity+HighestEducation+PoorerHousehold+Residence","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","B14","MICS","HR+HH","Y",1
"AFG+2010+BankCardHH+HighestEducation+PoorerHousehold+Residence","BankCardHH","AFG2010","HighestEducation+PoorerHousehold+Residence","0","13116.000075","0.055570403463878","0.075752041881565","0.236360840715705","0.413019670785571","0.00770047045741","MAX-leaf // HighestEducation ~ Higher","MIN-leaf // HighestEducation~Lower + Secondary // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","B14","HR+HH","Both","All","AFG","2010",1,"BankCardHH","AFG","2010","BankCardHH~PoorerHousehold+Residence+HighestEducation","13116.000075","0.055570403463878","0.075752041881564","0.236360840715706","0.315802051411624","0.004158309421579","MAX-leaf//HighestEducation~Higher","MIN-leaf//HighestEducation~Lower//PoorerHousehold~1","HighestEducation+PoorerHousehold+Residence","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","B14","MICS","HR+HH","Y",1
"AFG+2010+BasicWater+Ethnicity+HighestEducation+PoorerHousehold+Residence","BasicWater","AFG2010","Ethnicity+HighestEducation+PoorerHousehold+Residence","0","13116.000075","0.502815056136693","0.099809073994687","0.838062903083656","0.091133523724076","0.215105771661879","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Secondary + Higher","MIN-leaf // PoorerHousehold~1 // Ethnicity~MinorEthnicity + Uzbek/Turkmen","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H12","HR+HH","Both","All","AFG","2010",1,"BasicWater","AFG","2010","BasicWater~PoorerHousehold+Residence+HighestEducation+Ethnicity","13116.000075","0.538217161606718","0.122234511804849","0.866110666766571","0.273097815227025","0.273666579073341","MAX-leaf//PoorerHousehold~0//Residence~Urban//HighestEducation~Secondary+Higher","MIN-leaf//PoorerHousehold~1//Ethnicity~Dari+MinorEthnicity","Ethnicity+HighestEducation+PoorerHousehold+Residence","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","H12","BOTH","HR+HH","Y",1
"AFG+2010+BasicWater+HighestEducation+PoorerHousehold+Residence","BasicWater","AFG2010","HighestEducation+PoorerHousehold+Residence","0","13116.000075","0.502815056136693","0.099809073994687","0.838062903083656","0.421629490269734","0.295816194013101","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Secondary + Higher","MIN-leaf // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H12","HR+HH","Both","All","AFG","2010",1,"BasicWater","AFG","2010","BasicWater~PoorerHousehold+Residence+HighestEducation","13116.000075","0.538217161606718","0.179010546399372","0.841284251626932","0.315802051411624","0.318326414863167","MAX-leaf//PoorerHousehold~0//Residence~Urban","MIN-leaf//PoorerHousehold~1//HighestEducation~Lower","HighestEducation+PoorerHousehold+Residence","AFG2010","Afghanistan","2010","MICS","Afghanistan","2010","","Y","Ready","",NA,"Ready","NN","H12","BOTH","HR+HH","Y",1
"AFG+2010+CleanFuel+Ethnicity+HighestEducation+PoorerHousehold+Residence","CleanFuel","AFG2010","Ethnicity+HighestEducation+PoorerHousehold+Residence","0","13116.000075","0.165096462535664","0.035650558045609","0.844395428806523","0.415629538718192","0.001535515191121","MAX-leaf // Residence ~ Urban // HighestEducation ~ Higher","MIN-leaf // Residence~Rural // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H13","HR+HH","ALL","All","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AFG+2010+CleanFuel+HighestEducation+PoorerHousehold+Residence","CleanFuel","AFG2010","HighestEducation+PoorerHousehold+Residence","0","13116.000075","0.165096462535664","0.100906010401955","0.754989787403732","0.415629538718192","0.001535515191121","MAX-leaf // Residence ~ Urban // HighestEducation ~ Secondary + Higher","MIN-leaf // Residence~Rural // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H13","HR+HH","ALL","All","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AFG+2010+ContraceptiveMethod+","ContraceptiveMethod","AFG2010","","0","No Analysis",NA,"",NA,"","","","","Y","0","No Analysis",NA,"",NA,"","","","","Y","W11","IR+WM","ALL","None","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AFG+2010+ContraceptiveMethod+","ContraceptiveMethod","AFG2010","","0","No Analysis",NA,"",NA,"","","","","Y","0","No Analysis",NA,"",NA,"","","","","Y","W11","IR+WM","ALL","None","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AFG+2010+ContraceptiveMethod+","ContraceptiveMethod","AFG2010","","0","No Analysis",NA,"",NA,"","","","","Y","0","No Analysis",NA,"",NA,"","","","","Y","W11","IR+WM","ALL","None","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AFG+2010+ContraceptiveMethod+","ContraceptiveMethod","AFG2010","","0","No Analysis",NA,"",NA,"","","","","Y","0","No Analysis",NA,"",NA,"","","","","Y","W11","IR+WM","ALL","None","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
