"TreeID","IndicatorName.x","SurveyID.x","FormularString.x","Latest...1.x","Sample.Size.x","Overall.Mean.x","Max.Leaf.Size.x","Max.Leaf.Access.x","Min.Leaf.Size.x","Min.Leaf.Access.x","Max.Leaf.Characteristics.x","Min.Leaf.Characteristics.x","InUse.x.x","Latest...1.y","Sample.Size.y","Overall.Mean.y","Max.Leaf.Size.y","Max.Leaf.Access.y","Min.Leaf.Size.y","Min.Leaf.Access.y","Max.Leaf.Characteristics.y","Min.Leaf.Characteristics.y","InUse.y.x","VariableID.x","DatasetSource.x","MergeResult","AnaResult","Country_ISO.x","Year.x","data1","IndicatorName.y","Country_ISO.y","Year.y","Analysis","Sample.Size","Overall.Mean","Max.Leaf.Size","Max.Leaf.Access","Min.Leaf.Size","Min.Leaf.Access","Max.Leaf.Characteristics","Min.Leaf.Characteristics","FormularString.y","SurveyID.y","Country","Year.y","SurveySource","CountryCode","VersionCode","MetadataFile","InUse.x.y","MICS_Education_data","AdditionalVariables","Religion_data","Ethnicity_data","Language_data","VariableID.y","SurveySouce","DatasetSource.y","InUse.y.y","data2"
"AFG+2010+CleanFuel+Ethnicity+HighestEducation+PoorerHousehold+Residence","CleanFuel","AFG2010","Ethnicity+HighestEducation+PoorerHousehold+Residence","0","13116.000075","0.165096462535664","0.035650558045609","0.844395428806523","0.415629538718192","0.001535515191121","MAX-leaf // Residence ~ Urban // HighestEducation ~ Higher","MIN-leaf // Residence~Rural // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H13","HR+HH","ALL","All","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AFG+2010+CleanFuel+HighestEducation+PoorerHousehold+Residence","CleanFuel","AFG2010","HighestEducation+PoorerHousehold+Residence","0","13116.000075","0.165096462535664","0.100906010401955","0.754989787403732","0.415629538718192","0.001535515191121","MAX-leaf // Residence ~ Urban // HighestEducation ~ Secondary + Higher","MIN-leaf // Residence~Rural // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H13","HR+HH","ALL","All","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AFG+2010+ContraceptiveMethod+","ContraceptiveMethod","AFG2010","","0","No Analysis",NA,"",NA,"","","","","Y","0","No Analysis",NA,"",NA,"","","","","Y","W11","IR+WM","ALL","None","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AFG+2010+ContraceptiveMethod+","ContraceptiveMethod","AFG2010","","0","No Analysis",NA,"",NA,"","","","","Y","0","No Analysis",NA,"",NA,"","","","","Y","W11","IR+WM","ALL","None","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AFG+2010+ContraceptiveMethod+","ContraceptiveMethod","AFG2010","","0","No Analysis",NA,"",NA,"","","","","Y","0","No Analysis",NA,"",NA,"","","","","Y","W11","IR+WM","ALL","None","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AFG+2010+ContraceptiveMethod+","ContraceptiveMethod","AFG2010","","0","No Analysis",NA,"",NA,"","","","","Y","0","No Analysis",NA,"",NA,"","","","","Y","W11","IR+WM","ALL","None","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AFG+2010+HigherEducation35++Ethnicity+PoorerHousehold+Residence+Sex","HigherEducation35+","AFG2010","Ethnicity+PoorerHousehold+Residence+Sex","0","18332.324925","0.028914392264406","0.09863402887509","0.146191032004581","0.375143519391876","0.001957140331078","MAX-leaf // Residence ~ Urban // Sex ~ Male","MIN-leaf // Residence~Rural // Sex~Female","Y","0","18332.324925","0.028914392264406","0.09863402887509","0.146191032004581","0.375143519391876","0.001957140331078","MAX-leaf // Residence ~ Urban // Sex ~ Male","MIN-leaf // Residence~Rural // Sex~Female","Y","E12","","ALL","Two","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AFG+2010+HigherEducation35++PoorerHousehold+Residence+Sex","HigherEducation35+","AFG2010","PoorerHousehold+Residence+Sex","0","18332.324925","0.028914392264406","0.09863402887509","0.146191032004581","0.375143519391876","0.001957140331078","MAX-leaf // Residence ~ Urban // Sex ~ Male","MIN-leaf // Residence~Rural // Sex~Female","Y","0","18332.324925","0.028914392264406","0.09863402887509","0.146191032004581","0.375143519391876","0.001957140331078","MAX-leaf // Residence ~ Urban // Sex ~ Male","MIN-leaf // Residence~Rural // Sex~Female","Y","E12","","ALL","Two","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AFG+2010+InternetUse+","InternetUse","AFG2010","","0","No Analysis",NA,"",NA,"","","","","Y","0","No Analysis",NA,"",NA,"","","","","Y","I12","","ALL","None","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AFG+2010+InternetUse+","InternetUse","AFG2010","","0","No Analysis",NA,"",NA,"","","","","Y","0","No Analysis",NA,"",NA,"","","","","Y","I12","","ALL","None","AFG","2010",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
