TreeID,IndicatorName.x,,SurveyID.x,FormularString.x,Latest...1.x,Sample.Size.x,Overall.Mean.x,Overall.Mean,,Max.Leaf.Size.x,Max.Leaf.Access.x,Min.Leaf.Size.x,Min.Leaf.Access.x,Max.Leaf.Characteristics.x,Min.Leaf.Characteristics.x,Sample.Size,Overall.Mean,Max.Leaf.Size,Max.Leaf.Access,Min.Leaf.Size,Min.Leaf.Access,Max.Leaf.Characteristics,Min.Leaf.Characteristics,,,,,,InUse.x.x,Latest...1.y,Sample.Size.y,Overall.Mean.y,Max.Leaf.Size.y,Max.Leaf.Access.y,Min.Leaf.Size.y,Min.Leaf.Access.y,Max.Leaf.Characteristics.y,Min.Leaf.Characteristics.y,InUse.y.x,VariableID.x,DatasetSource.x,MergeResult,AnaResult,Country_ISO.x,Year.x,data1,IndicatorName.y,Country_ISO.y,Year.y,Analysis,Sample.Size,Overall.Mean,Max.Leaf.Size,Max.Leaf.Access,Min.Leaf.Size,Min.Leaf.Access,Max.Leaf.Characteristics,Min.Leaf.Characteristics,FormularString.y,SurveyID.y,Country,Year.y,SurveySource,CountryCode,VersionCode,MetadataFile,InUse.x.y,MICS_Education_data,AdditionalVariables,Religion_data,Ethnicity_data,Language_data,VariableID.y,SurveySouce,DatasetSource.y,InUse.y.y,data2
BGD+2019+ProfessionalHelp+aGroup+Education+Ethnicity+MarriageStatus+NUnder5+PoorerHousehold+Religion+Residence,ProfessionalHelp,,BGD2019,aGroup+Education+Ethnicity+MarriageStatus+NUnder5+PoorerHousehold+Religion+Residence,1,9183.04151671749,58.98%,91.14%,32.17%,0.078800848163357,0.865454254192066,0.062826861598719,0.208652113719405,MAX-leaf // PoorerHousehold ~ 0 // Education ~ Secondary // Residence ~ Urban // aGroup ~ 25-34 + 35+,MIN-leaf // PoorerHousehold~1 // Education~Lower // NUnder5~2 + 3 + 4 + 5,9183.04151671749,0.911444010767541,0.144636864265835,0.956475463042762,0.062826861598719,0.855185601709738,MAX-leaf//PoorerHousehold~0//Education~Secondary//Residence~Urban,MIN-leaf//PoorerHousehold~1//Education~Lower//NUnder5~2+3+4+5,,,,,,Y,1,9183.04151671749,0.589752345396147,0.078800848163357,0.865454254192066,0.062826861598719,0.208652113719405,MAX-leaf // PoorerHousehold ~ 0 // Education ~ Secondary // Residence ~ Urban // aGroup ~ 25-34 + 35+,MIN-leaf // PoorerHousehold~1 // Education~Lower // NUnder5~2 + 3 + 4 + 5,Y,W12,,Both,Two,BGD,2019,1,ProfessionalHelp,BGD,2019,ProfessionalHelp~PoorerHousehold+Residence+aGroup+MarriageStatus+NUnder5+Education+Religion+Ethnicity,9183.04151671749,0.911444010767541,0.144636864265835,0.956475463042762,0.062826861598719,0.855185601709738,MAX-leaf//PoorerHousehold~0//Education~Secondary//Residence~Urban,MIN-leaf//PoorerHousehold~1//Education~Lower//NUnder5~2+3+4+5,aGroup+Education+Ethnicity+MarriageStatus+NUnder5+PoorerHousehold+Religion+Residence,BGD2019,Bangladesh,2019,MICS,Bangladesh,2019,,Y,Ready,,Ready,Ready,NN,W12,,,Y,1
BGD+2019+ProfessionalHelp+aGroup+Education+MarriageStatus+NUnder5+PoorerHousehold+Residence,ProfessionalHelp,,BGD2019,aGroup+Education+MarriageStatus+NUnder5+PoorerHousehold+Residence,1,9183.04151671749,58.98%,91.14%,32.17%,0.144636864265835,0.843744169353893,0.204069459739668,0.29634127363043,MAX-leaf // PoorerHousehold ~ 0 // Education ~ Secondary // Residence ~ Urban,MIN-leaf // PoorerHousehold~1 // Education~Lower,9183.04151671749,0.911444010767541,0.144636864265835,0.956475463042762,0.204069459739668,0.869796797901913,MAX-leaf//PoorerHousehold~0//Education~Secondary//Residence~Urban,MIN-leaf//PoorerHousehold~1//Education~Lower,,,,,,Y,1,9183.04151671749,0.589752345396147,0.144636864265835,0.843744169353893,0.204069459739668,0.29634127363043,MAX-leaf // PoorerHousehold ~ 0 // Education ~ Secondary // Residence ~ Urban,MIN-leaf // PoorerHousehold~1 // Education~Lower,Y,W12,,Both,Two,BGD,2019,1,ProfessionalHelp,BGD,2019,ProfessionalHelp~PoorerHousehold+Residence+aGroup+MarriageStatus+NUnder5+Education,9183.04151671749,0.911444010767541,0.144636864265835,0.956475463042762,0.204069459739668,0.869796797901913,MAX-leaf//PoorerHousehold~0//Education~Secondary//Residence~Urban,MIN-leaf//PoorerHousehold~1//Education~Lower,aGroup+Education+MarriageStatus+NUnder5+PoorerHousehold+Residence,BGD2019,Bangladesh,2019,MICS,Bangladesh,2019,,Y,Ready,,Ready,Ready,NN,W12,,,Y,1
MNG+2013+SafeSanitation+Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence,SafeSanitation,,MNG2013,Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence,0,14805,26.08%,57.48%,31.41%,0.158397165483749,0.566611171461178,0.317126052688272,0.009313782464617,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher // Residence ~ Urban // Religion ~ No religion,MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower + Secondary,14805,0.574843141828508,0.369515389512575,0.796248628836104,0.068246905125209,0.242136470521988,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher // Residence ~ Urban,MIN-leaf // PoorerHousehold~1 // Residence~Rural // Ethnicity~MinorEthnicity,,,,,,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAN,H16,HR+HH,Both,All,MNG,2013,1,SafeSanitation,MNG,2013,SafeSanitation ~ PoorerHousehold + Residence + HighestEducation + Religion + Ethnicity,14805,0.574843141828508,0.369515389512575,0.796248628836104,0.068246905125209,0.242136470521988,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher // Residence ~ Urban,MIN-leaf // PoorerHousehold~1 // Residence~Rural // Ethnicity~MinorEthnicity,Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence,MNG2013,Mongolia,2013,MICS,Mongolia,2013,,Y,Ready,,Ready,Ready,NN,H16,BOTH,HR+HH,Y,1
MNG+2013+SafeSanitation+HighestEducation+PoorerHousehold+Residence,SafeSanitation,,MNG2013,HighestEducation+PoorerHousehold+Residence,0,14805,26.08%,57.48%,31.41%,0.425368341470998,0.512701127576531,0.400214987071961,0.012310432731359,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher,MIN-leaf // PoorerHousehold~1,14805,0.574843141828508,0.425368341471,0.783739811690252,0.264408733308242,0.266706918199351,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher,MIN-leaf // PoorerHousehold~1 // Residence~Rural,,,,,,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAN,H16,HR+HH,Both,All,MNG,2013,1,SafeSanitation,MNG,2013,SafeSanitation ~ PoorerHousehold + Residence + HighestEducation,14805,0.574843141828508,0.425368341471,0.783739811690252,0.264408733308242,0.266706918199351,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher,MIN-leaf // PoorerHousehold~1 // Residence~Rural,HighestEducation+PoorerHousehold+Residence,MNG2013,Mongolia,2013,MICS,Mongolia,2013,,Y,Ready,,Ready,Ready,NN,H16,BOTH,HR+HH,Y,1
ARM+2010+HigherEducation2535+PoorerHousehold+Residence+Sex,HigherEducation2535,,ARM61,PoorerHousehold+Residence+Sex,0,3871.368746,29.82%,51.66%,21.85%,0.310472793954823,0.404054620126352,0.175257357930843,0.095160882483714,MAX-leaf // PoorerHousehold ~ 0 // Sex ~ Male,MIN-leaf // PoorerHousehold~1 // Sex~Male,3871.368746,0.516634940308008,0.341068452692417,0.710992736431909,0.175257357930843,0.192328192933389,MAX-leaf // PoorerHousehold ~ 0 // Sex ~ Female,MIN-leaf // PoorerHousehold~1 // Sex~Male,,,,,,Y,0,3871.368746,0.298184802001292,0.310472793954823,0.404054620126352,0.175257357930843,0.095160882483714,MAX-leaf // PoorerHousehold ~ 0 // Sex ~ Male,MIN-leaf // PoorerHousehold~1 // Sex~Male,Y,E11,,Both,Two,ARM,2010,1,HigherEducation2535,ARM,2010,HigherEducation2535 ~ PoorerHousehold + Residence + Sex,3871.368746,0.516634940308008,0.341068452692417,0.710992736431909,0.175257357930843,0.192328192933389,MAX-leaf // PoorerHousehold ~ 0 // Sex ~ Female,MIN-leaf // PoorerHousehold~1 // Sex~Male,PoorerHousehold+Residence+Sex,ARM61,Armenia,2010,DHS,AM,61,,Y,,,,,,E11,,,Y,1
MNG+2013+BasicWater+Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence,BasicWater,,MNG2013,Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence,0,14805,59.85%,40.10%,19.75%,0.369515389512576,0.801364448191461,0.062282638543934,0.278814843753025,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher // Residence ~ Urban,MIN-leaf // PoorerHousehold~1 // Residence~Rural // HighestEducation~Lower // Religion~Buddism,14805,0.401030954488201,0.158397165483749,0.681713744564123,0.073874208967952,0.142537560174831,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Higher // Religion ~ NoReligion,MIN-leaf // PoorerHousehold~1 // Ethnicity~Khalkh // HighestEducation~Lower + Secondary // Residence~Urban,,,,,,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAN,H12,HR+HH,Both,All,MNG,2013,1,BasicWater,MNG,2013,BasicWater ~ PoorerHousehold + Residence + HighestEducation + Religion + Ethnicity,14805,0.401030954488201,0.158397165483749,0.681713744564123,0.073874208967952,0.142537560174831,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Higher // Religion ~ NoReligion,MIN-leaf // PoorerHousehold~1 // Ethnicity~Khalkh // HighestEducation~Lower + Secondary // Residence~Urban,Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence,MNG2013,Mongolia,2013,MICS,Mongolia,2013,,Y,Ready,,Ready,Ready,NN,H12,BOTH,HR+HH,Y,1
MNG+2013+BasicWater+HighestEducation+PoorerHousehold+Residence,BasicWater,,MNG2013,HighestEducation+PoorerHousehold+Residence,0,14805,59.85%,40.10%,19.75%,0.425368341470998,0.798270900173474,0.122593842558555,0.292190746189736,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher,MIN-leaf // PoorerHousehold~1 // Residence~Rural // HighestEducation~Lower,14805,0.401030954488201,0.369515389512575,0.672312762037557,0.135806253763714,0.160355669108409,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Higher,MIN-leaf // PoorerHousehold~1 // Residence~Urban,,,,,,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAN,H12,HR+HH,Both,All,MNG,2013,1,BasicWater,MNG,2013,BasicWater ~ PoorerHousehold + Residence + HighestEducation,14805,0.401030954488201,0.369515389512575,0.672312762037557,0.135806253763714,0.160355669108409,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Higher,MIN-leaf // PoorerHousehold~1 // Residence~Urban,HighestEducation+PoorerHousehold+Residence,MNG2013,Mongolia,2013,MICS,Mongolia,2013,,Y,Ready,,Ready,Ready,NN,H12,BOTH,HR+HH,Y,1
KGZ+2018+ContraceptiveMethod+aGroup+Education+Ethnicity+NUnder5+PoorerHousehold+Residence,ContraceptiveMethod,,KGZ2018,aGroup+Education+Ethnicity+NUnder5+PoorerHousehold+Residence,1,2092.48100719186,75.15%,59.97%,15.18%,0.11441895283315,0.898375051351289,0.125189351445834,0.604732143781717,MAX-leaf // aGroup ~ 15-24 + 25-34 // NUnder5 ~ 0 + 1 // Education ~ Higher,MIN-leaf // aGroup~35+ // PoorerHousehold~1 // NUnder5~0,2701.18513849693,0.59967365088278,0.086210303114985,0.878622505236718,0.103365829386707,0.314221967452713,MAX-leaf // NUnder5 ~ 0 // Education ~ Higher,MIN-leaf // NUnder5~1 + 2 + 3 + 4 + 7 // aGroup~15-24 // Residence~Rural,,,,,,Y,1,2092.48100719186,0.751507628377114,0.11441895283315,0.898375051351289,0.125189351445834,0.604732143781717,MAX-leaf // aGroup ~ 15-24 + 25-34 // NUnder5 ~ 0 + 1 // Education ~ Higher,MIN-leaf // aGroup~35+ // PoorerHousehold~1 // NUnder5~0,Y,W11,IR+WM,Both,Two,KGZ,2018,1,ContraceptiveMethod,KGZ,2018,ContraceptiveMethod ~ PoorerHousehold + Residence + aGroup + NUnder5 + Education + Ethnicity,2701.18513849693,0.59967365088278,0.086210303114985,0.878622505236718,0.103365829386707,0.314221967452713,MAX-leaf // NUnder5 ~ 0 // Education ~ Higher,MIN-leaf // NUnder5~1 + 2 + 3 + 4 + 7 // aGroup~15-24 // Residence~Rural,aGroup+Education+Ethnicity+NUnder5+PoorerHousehold+Residence,KGZ2018,Kyrgyzstan,2018,MICS,Kyrgyzstan,2018,,Y,Ready,,NA,Ready,NN,W11,BOTH,IR+WM,Y,1
KGZ+2018+ContraceptiveMethod+aGroup+Education+NUnder5+PoorerHousehold+Residence,ContraceptiveMethod,,KGZ2018,aGroup+Education+NUnder5+PoorerHousehold+Residence,1,2092.48100719186,75.15%,59.97%,15.18%,0.11441895283315,0.898375051351289,0.205258689874032,0.626786344297165,MAX-leaf // aGroup ~ 15-24 + 25-34 // NUnder5 ~ 0 + 1 // Education ~ Higher,MIN-leaf // aGroup~35+ // PoorerHousehold~1,2701.18513849693,0.59967365088278,0.171062765345392,0.825395288549651,0.142458276700085,0.346478580165682,MAX-leaf // NUnder5 ~ 0 // Residence ~ Rural,MIN-leaf // NUnder5~1 + 2 + 3 + 4 + 5 + 7 // aGroup~15-24,,,,,,Y,1,2092.48100719186,0.751507628377114,0.11441895283315,0.898375051351289,0.205258689874032,0.626786344297165,MAX-leaf // aGroup ~ 15-24 + 25-34 // NUnder5 ~ 0 + 1 // Education ~ Higher,MIN-leaf // aGroup~35+ // PoorerHousehold~1,Y,W11,IR+WM,Both,Two,KGZ,2018,1,ContraceptiveMethod,KGZ,2018,ContraceptiveMethod ~ PoorerHousehold + Residence + aGroup + NUnder5 + Education,2701.18513849693,0.59967365088278,0.171062765345392,0.825395288549651,0.142458276700085,0.346478580165682,MAX-leaf // NUnder5 ~ 0 // Residence ~ Rural,MIN-leaf // NUnder5~1 + 2 + 3 + 4 + 5 + 7 // aGroup~15-24,aGroup+Education+NUnder5+PoorerHousehold+Residence,KGZ2018,Kyrgyzstan,2018,MICS,Kyrgyzstan,2018,,Y,Ready,,NA,Ready,NN,W11,BOTH,IR+WM,Y,1
VNM+2010+SecondaryEducation2035+Ethnicity+PoorerHousehold+Religion+Residence+Sex,SecondaryEducation2035,,VNM2010,Ethnicity+PoorerHousehold+Religion+Residence+Sex,0,10931.7019645949,24.23%,38.08%,13.85%,0.192044751495915,0.533755845699995,0.087565625050421,0.032687182088149,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // Religion ~ No religion,MIN-leaf // PoorerHousehold~1 // Religion~MinorReligion + Buddhism,10931.7019645949,0.380793175295447,0.09145838769323,0.712722026774945,0.087565625050421,0.083832480050466,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // Religion ~ NoReligion // Sex ~ Male,MIN-leaf // PoorerHousehold~1 // Religion~Buddhism + MinorReligion,,,,,,Y,0,10931.7019645949,0.242334628303034,0.192044751495915,0.533755845699995,0.087565625050421,0.032687182088149,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // Religion ~ No religion,MIN-leaf // PoorerHousehold~1 // Religion~MinorReligion + Buddhism,Y,E14,,Both,Two,VNM,2010,1,SecondaryEducation2035,VNM,2010,SecondaryEducation2035 ~ PoorerHousehold + Residence + Sex + Religion + Ethnicity,10931.7019645949,0.380793175295447,0.09145838769323,0.712722026774945,0.087565625050421,0.083832480050466,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // Religion ~ NoReligion // Sex ~ Male,MIN-leaf // PoorerHousehold~1 // Religion~Buddhism + MinorReligion,Ethnicity+PoorerHousehold+Religion+Residence+Sex,VNM2010,Viet Nam,2010,MICS,Viet Nam,2010,,Y,Ready,,Ready,Ready,NN,E14,,,Y,1
