"TreeID","IndicatorName.x","SurveyID.x","FormularString.x","Latest...1.x","Sample.Size.x","Overall.Mean.x","Max.Leaf.Size.x","Max.Leaf.Access.x","Min.Leaf.Size.x","Min.Leaf.Access.x","Max.Leaf.Characteristics.x","Min.Leaf.Characteristics.x","InUse.x.x","Country_ISO.x","Year.x","IndicatorName.y","Country_ISO.y","Year.y","Analysis","Sample.Size","Overall.Mean","Max.Leaf.Size","Max.Leaf.Access","Min.Leaf.Size","Min.Leaf.Access","Max.Leaf.Characteristics","Min.Leaf.Characteristics","Year.y.1","Religion_data","Ethnicity_data","Language_data","mean.diff"
"AFG+2010+BasicWater+Ethnicity+HighestEducation+PoorerHousehold+Residence","BasicWater","AFG2010","Ethnicity+HighestEducation+PoorerHousehold+Residence","0","13116.000075",0.502815056136693,"0.099809073994687","0.838062903083656","0.091133523724076","0.215105771661879","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Secondary + Higher","MIN-leaf // PoorerHousehold~1 // Ethnicity~MinorEthnicity + Uzbek/Turkmen","Y","AFG","2010","BasicWater","AFG","2010","BasicWater~PoorerHousehold+Residence+HighestEducation+Ethnicity","13116.000075",0.538217161606718,"0.122234511804849","0.866110666766571","0.273097815227025","0.273666579073341","MAX-leaf//PoorerHousehold~0//Residence~Urban//HighestEducation~Secondary+Higher","MIN-leaf//PoorerHousehold~1//Ethnicity~Dari+MinorEthnicity","2010",NA,"Ready","NN",-0.035402105470025
"AFG+2010+BasicWater+HighestEducation+PoorerHousehold+Residence","BasicWater","AFG2010","HighestEducation+PoorerHousehold+Residence","0","13116.000075",0.502815056136693,"0.099809073994687","0.838062903083656","0.421629490269734","0.295816194013101","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Secondary + Higher","MIN-leaf // PoorerHousehold~1","Y","AFG","2010","BasicWater","AFG","2010","BasicWater~PoorerHousehold+Residence+HighestEducation","13116.000075",0.538217161606718,"0.179010546399372","0.841284251626932","0.315802051411624","0.318326414863167","MAX-leaf//PoorerHousehold~0//Residence~Urban","MIN-leaf//PoorerHousehold~1//HighestEducation~Lower","2010",NA,"Ready","NN",-0.035402105470025
"ARM+2010+HigherEducation2535+PoorerHousehold+Residence+Sex","HigherEducation2535","ARM61","PoorerHousehold+Residence+Sex","0","3871.368746",0.298184802001292,"0.310472793954823","0.404054620126352","0.175257357930843","0.095160882483714","MAX-leaf // PoorerHousehold ~ 0 // Sex ~ Male","MIN-leaf // PoorerHousehold~1 // Sex~Male","Y","ARM","2010","HigherEducation2535","ARM","2010","HigherEducation2535 ~ PoorerHousehold + Residence + Sex","3871.368746",0.516634940308008,"0.341068452692417","0.710992736431909","0.175257357930843","0.192328192933389","MAX-leaf // PoorerHousehold ~ 0 // Sex ~ Female","MIN-leaf // PoorerHousehold~1 // Sex~Male","2010","","","",-0.218450138306716
"BGD+2019+ContraceptiveMethod+aGroup+Education+Ethnicity+NUnder5+PoorerHousehold+Religion+Residence","ContraceptiveMethod","BGD2019","aGroup+Education+Ethnicity+NUnder5+PoorerHousehold+Religion+Residence","1","37696.6137570694",0.801665518366682,"0.076352077151176","0.891167882425989","0.104881808575773","0.73430645323646","MAX-leaf // PoorerHousehold ~ 1 // aGroup ~ 15-24 + 25-34 // NUnder5 ~ 0","MIN-leaf // PoorerHousehold~0 // aGroup~15-24 + 35+ // Residence~Rural // NUnder5~1 + 2 + 3 + 4 + 5 + 6","Y","BGD","2019","ContraceptiveMethod","BGD","2019","ContraceptiveMethod~PoorerHousehold+Residence+aGroup+NUnder5+Education+Religion+Ethnicity","38855.7605358874",0.777750196919147,"0.061417506413986","0.878889728362802","0.072835736112974","0.679986488905862","MAX-leaf//PoorerHousehold~1//aGroup~25-34//NUnder5~0","MIN-leaf//PoorerHousehold~0//Residence~Rural//NUnder5~1+2+3+4+5+6//aGroup~15-24","2019","Ready","Ready","NN",0.0239153214475349
"BGD+2019+ContraceptiveMethod+aGroup+Education+NUnder5+PoorerHousehold+Residence","ContraceptiveMethod","BGD2019","aGroup+Education+NUnder5+PoorerHousehold+Residence","1","37696.6137570694",0.801665518366682,"0.153266822287087","0.86611145878257","0.104881808575773","0.73430645323646","MAX-leaf // PoorerHousehold ~ 1 // aGroup ~ 25-34","MIN-leaf // PoorerHousehold~0 // aGroup~15-24 + 35+ // Residence~Rural // NUnder5~1 + 2 + 3 + 4 + 5 + 6","Y","BGD","2019","ContraceptiveMethod","BGD","2019","ContraceptiveMethod~PoorerHousehold+Residence+aGroup+NUnder5+Education","38855.7605358874",0.777750196919147,"0.151510773597261","0.850012569314937","0.204523678303259","0.705954091897073","MAX-leaf//PoorerHousehold~1//aGroup~25-34","MIN-leaf//PoorerHousehold~0//Residence~Rural//NUnder5~1+2+3+4+5+6","2019","Ready","Ready","NN",0.0239153214475349
"BGD+2019+HigherEducation2535+Ethnicity+PoorerHousehold+Religion+Residence+Sex","HigherEducation2535","BGD2019","Ethnicity+PoorerHousehold+Religion+Residence+Sex","1","39393.8475074861",0.139375946403001,"0.108525700928527","0.272053090532122","0.179776856997748","0.019126880636952","MAX-leaf // PoorerHousehold ~ 0 // Sex ~ Male // Residence ~ Urban","MIN-leaf // PoorerHousehold~1 // Sex~Female","Y","BGD","2019","HigherEducation2535","BGD","2019","HigherEducation2535~PoorerHousehold+Residence+Sex+Religion+Ethnicity","44744.644462426",0.122708646918002,"0.103180056290946","0.251928813183278","0.196188674112388","0.015430902842974","MAX-leaf//PoorerHousehold~0//Sex~Male//Residence~Urban","MIN-leaf//PoorerHousehold~1//Sex~Female","2019","Ready","Ready","NN",0.016667299484999
"BGD+2019+HigherEducation2535+PoorerHousehold+Residence+Sex","HigherEducation2535","BGD2019","PoorerHousehold+Residence+Sex","1","39393.8475074861",0.139375946403001,"0.312411381544465","0.241808540954776","0.179776856997748","0.019126880636952","MAX-leaf // PoorerHousehold ~ 0 // Sex ~ Male","MIN-leaf // PoorerHousehold~1 // Sex~Female","Y","BGD","2019","HigherEducation2535","BGD","2019","HigherEducation2535~PoorerHousehold+Residence+Sex","44744.644462426",0.122708646918002,"0.295892093261774","0.224777305899959","0.196188674112388","0.015430902842974","MAX-leaf//PoorerHousehold~0//Sex~Male","MIN-leaf//PoorerHousehold~1//Sex~Female","2019","Ready","Ready","NN",0.016667299484999
"BGD+2019+HigherEducation35plus+Ethnicity+PoorerHousehold+Religion+Residence+Sex","HigherEducation35plus","BGD2019","Ethnicity+PoorerHousehold+Religion+Residence+Sex","1","48882.9912988377",0.092508652445143,"0.150289767559638","0.243136565521657","0.107177602803313","0.00396263129721","MAX-leaf // Residence ~ Urban // Sex ~ Male","MIN-leaf // Residence~Rural // PoorerHousehold~1 // Sex~Female","Y","BGD","2019","HigherEducation35plus","BGD","2019","HigherEducation35plus~PoorerHousehold+Residence+Sex+Religion+Ethnicity","89852.9174417914",0.050327799934516,"0.109063400849718","0.182274638509658","0.185227163486723","0.001247408271046","MAX-leaf//Residence~Urban//Sex~Male","MIN-leaf//Residence~Rural//PoorerHousehold~1//Sex~Female","2019","Ready","Ready","NN",0.042180852510627
"BGD+2019+HigherEducation35plus+PoorerHousehold+Residence+Sex","HigherEducation35plus","BGD2019","PoorerHousehold+Residence+Sex","1","48882.9912988377",0.092508652445143,"0.150289767559636","0.243136565521661","0.107177602803313","0.00396263129721","MAX-leaf // Residence ~ Urban // Sex ~ Male","MIN-leaf // Residence~Rural // PoorerHousehold~1 // Sex~Female","Y","BGD","2019","HigherEducation35plus","BGD","2019","HigherEducation35plus~PoorerHousehold+Residence+Sex","89852.9174417914",0.050327799934516,"0.210910033171922","0.134979945061628","0.185227163486723","0.001247408271046","MAX-leaf//Residence~Urban","MIN-leaf//Residence~Rural//PoorerHousehold~1//Sex~Female","2019","Ready","Ready","NN",0.042180852510627
"BGD+2019+ProfessionalHelp+aGroup+Education+Ethnicity+MarriageStatus+NUnder5+PoorerHousehold+Religion+Residence","ProfessionalHelp","BGD2019","aGroup+Education+Ethnicity+MarriageStatus+NUnder5+PoorerHousehold+Religion+Residence","1","9183.04151671749",0.589752345396147,"0.078800848163357","0.865454254192066","0.062826861598719","0.208652113719405","MAX-leaf // PoorerHousehold ~ 0 // Education ~ Secondary // Residence ~ Urban // aGroup ~ 25-34 + 35+","MIN-leaf // PoorerHousehold~1 // Education~Lower // NUnder5~2 + 3 + 4 + 5","Y","BGD","2019","ProfessionalHelp","BGD","2019","ProfessionalHelp~PoorerHousehold+Residence+aGroup+MarriageStatus+NUnder5+Education+Religion+Ethnicity","9183.04151671749",0.911444010767541,"0.144636864265835","0.956475463042762","0.062826861598719","0.855185601709738","MAX-leaf//PoorerHousehold~0//Education~Secondary//Residence~Urban","MIN-leaf//PoorerHousehold~1//Education~Lower//NUnder5~2+3+4+5","2019","Ready","Ready","NN",-0.321691665371394
