Source,Type,Country,Year,Latest = 1,Additional variables,Analysis,Sample Size,Overall Mean,Max Leaf Size,Max Leaf Access,Min Leaf Size,Min Leaf Access,Gap,Max Leaf Characteristics,Min Leaf Characteristics,Most imp. Var.,2nd var,3rd var,4th var,5th var,6th var,7th var,8th var
MICS,Individual,Afghanistan,2010,0,Yes,SecondaryEducation35+ ~ PoorerHousehold + Residence + Sex + Ethnicity,18332.324925,0.056900571764222,0.09863402887509,0.219117209154492,0.180562191950129,0.001028338879789,0.218088870274703,MAX-leaf // Residence ~ Urban // Sex ~ Male,MIN-leaf // Residence~Rural // Sex~Female // PoorerHousehold~1,Residence,Sex,PoorerHousehold,Ethnicity,,,,
MICS,Individual,Afghanistan,2010,0,Yes,SecondaryEducation2035 ~ PoorerHousehold + Residence + Sex + Ethnicity,23946.013054,0.092892700090984,0.087866152718417,0.255639694214771,0.112549339713561,0.004559193617282,0.251080500597489,MAX-leaf // Sex ~ Male // PoorerHousehold ~ 0 // Residence ~ Urban,MIN-leaf // Sex~Female // Residence~Rural // Ethnicity~MinorEthnicity + Pashto + Uzbek/Turkmen // PoorerHousehold~1,Sex,PoorerHousehold,Residence,Ethnicity,,,,
MICS,Individual,Afghanistan,2010,0,Yes,HigherEducation2535 ~ PoorerHousehold + Residence + Sex + Ethnicity,14925.451176,0.034523047372166,0.085282186983182,0.125296760652054,0.226163521436989,0.000265466869668,0.125031293782386,MAX-leaf // Residence ~ Urban // Sex ~ Male,MIN-leaf // Residence~Rural // Sex~Female // Ethnicity~Pashto + Uzbek/Turkmen,Residence,Sex,PoorerHousehold,Ethnicity,,,,
MICS,Individual,Afghanistan,2010,0,Yes,HigherEducation35+ ~ PoorerHousehold + Residence + Sex + Ethnicity,18332.324925,0.028914392264406,0.09863402887509,0.146191032004581,0.375143519391876,0.001957140331078,0.144233891673503,MAX-leaf // Residence ~ Urban // Sex ~ Male,MIN-leaf // Residence~Rural // Sex~Female,Residence,Sex,PoorerHousehold,Ethnicity,,,,
MICS,Individual,Afghanistan,2010,0,No,SecondaryEducation35+ ~ PoorerHousehold + Residence + Sex,18332.324925,0.056900571764222,0.09863402887509,0.219117209154492,0.180562191950129,0.001028338879789,0.218088870274703,MAX-leaf // Residence ~ Urban // Sex ~ Male,MIN-leaf // Residence~Rural // Sex~Female // PoorerHousehold~1,Residence,Sex,PoorerHousehold,,,,,
MICS,Individual,Afghanistan,2010,0,No,SecondaryEducation2035 ~ PoorerHousehold + Residence + Sex,23946.013054,0.092892700090984,0.087866152718417,0.255639694214771,0.184527695572348,0.010338034953435,0.245301659261336,MAX-leaf // Sex ~ Male // PoorerHousehold ~ 0 // Residence ~ Urban,MIN-leaf // Sex~Female // Residence~Rural // PoorerHousehold~1,Sex,PoorerHousehold,Residence,,,,,
MICS,Individual,Afghanistan,2010,0,No,HigherEducation2535 ~ PoorerHousehold + Residence + Sex,14925.451176,0.034523047372166,0.085282186983182,0.125296760652054,0.403894227445095,0.002775241624809,0.122521519027245,MAX-leaf // Residence ~ Urban // Sex ~ Male,MIN-leaf // Residence~Rural // Sex~Female,Residence,Sex,PoorerHousehold,,,,,
MICS,Individual,Afghanistan,2010,0,No,HigherEducation35+ ~ PoorerHousehold + Residence + Sex,18332.324925,0.028914392264406,0.09863402887509,0.146191032004581,0.375143519391876,0.001957140331078,0.144233891673503,MAX-leaf // Residence ~ Urban // Sex ~ Male,MIN-leaf // Residence~Rural // Sex~Female,Residence,Sex,PoorerHousehold,,,,,
DHS,Individual,Afghanistan,2015,1,No,SecondaryEducation2035 ~ PoorerHousehold + Residence + Sex,46234.809161,0.167495930263996,0.129366619794448,0.388534516256372,0.181395975071406,0.025571277366113,0.362963238890259,MAX-leaf // Sex ~ Male // Residence ~ Urban,MIN-leaf // Sex~Female // Residence~Rural // PoorerHousehold~1,Residence,Sex,PoorerHousehold,,,,,
DHS,Individual,Afghanistan,2015,1,No,SecondaryEducation35+ ~ PoorerHousehold + Residence + Sex,39772.075096,0.076634302149011,0.136121061320849,0.251522540129975,0.191711545263748,0.001139773080052,0.250382767049923,MAX-leaf // Sex ~ Male // Residence ~ Urban,MIN-leaf // Sex~Female // Residence~Rural // PoorerHousehold~1,Residence,Sex,PoorerHousehold,,,,,
