Source,Type,Country,Year,Latest = 1,Additional variables,Analysis,Sample Size,Overall Mean,Max Leaf Size,Max Leaf Access,Min Leaf Size,Min Leaf Access,Gap,Max Leaf Characteristics,Min Leaf Characteristics,Most imp. Var.,2nd var,3rd var,4th var,5th var,6th var,7th var,8th var
MICS,Women,Afghanistan,2010,0,Yes,ProfessionalHelp ~ PoorerHousehold + Residence + aGroup + MarritalStatus + NUnder5 + Education + Ethnicity,4864.935646,0.386468962759225,0.060832818054506,0.792049390340852,0.114370159132008,0.136718117197056,0.655331273143796,MAX-leaf // Residence ~ Urban // aGroup ~ 15-24,MIN-leaf // Residence~Rural // PoorerHousehold~1 // Ethnicity~MinorEthnicity + Dari // aGroup~25-34 + 35+,Residence,PoorerHousehold,Ethnicity,Education,aGroup,NUnder5,MarritalStatus,
MICS,Women,Afghanistan,2010,0,No,ContraceptiveMethod,No Analysis,,,,,,0,,,,,,,,,,
MICS,Individual,Afghanistan,2010,0,No,InternetUse,No Analysis,,,,,,0,,,,,,,,,,
MICS,Individual,Afghanistan,2010,0,Yes,ChildMarriage15 ~ PoorerHousehold + Residence + Ethnicity,4109.608656,0.150369680358197,0.138448679333325,0.284375411703464,0.078479665826361,0.082854684490126,0.201520727213338,MAX-leaf // PoorerHousehold ~ 1 // Ethnicity ~ Dari,MIN-leaf // PoorerHousehold~0 // Ethnicity~Uzbek/Turkmen,Ethnicity,PoorerHousehold,Residence,,,,,
MICS,Individual,Afghanistan,2010,0,Yes,ChildMarriage18 ~ PoorerHousehold + Residence + Ethnicity,4109.608656,0.403820901188991,0.138448679333325,0.575122432972468,0.139220575702428,0.274668869271062,0.300453563701406,MAX-leaf // PoorerHousehold ~ 1 // Ethnicity ~ Dari,MIN-leaf // PoorerHousehold~0 // Residence~Urban // Ethnicity~Dari + Uzbek/Turkmen,PoorerHousehold,Ethnicity,Residence,,,,,
MICS,Women,Afghanistan,2010,0,Yes,TeenPregnancy ~ PoorerHousehold + Residence + Education + Ethnicity,5510.407727,0.139479893880455,0.105086477387629,0.205030103329405,0.22237234968947,0.048679478158,0.156350625171405,MAX-leaf // Education ~ Lower // Ethnicity ~ Dari // Residence ~ Rural // PoorerHousehold ~ 1,MIN-leaf // Education~Secondary + Higher,Education,Residence,Ethnicity,PoorerHousehold,,,,
MICS,Women,Afghanistan,2010,0,Yes,AdolescentBirthRate ~ PoorerHousehold + Residence + Education + Ethnicity,4109.608656,0.356487235800683,0.132284651047319,0.523144086869975,0.123588993384678,0.130318244983593,0.392825841886382,MAX-leaf // Education ~ Lower // PoorerHousehold ~ 1 // Ethnicity ~ Dari,MIN-leaf // Education~Secondary + Higher,Education,PoorerHousehold,Ethnicity,Residence,,,,
MICS,Women,Afghanistan,2010,0,Yes,ReasonBeating ~ PoorerHousehold + Residence + aGroup + NUnder5 + Education + Ethnicity,21290.172133,0.902483518168369,0.088896864392487,0.973278415137497,0.045079622325475,0.749691248399318,0.223587166738179,MAX-leaf // Education ~ Lower // aGroup ~ 25-34 + 35+ // Residence ~ Rural // Ethnicity ~ MinorEthnicity + Uzbek/Turkmen,MIN-leaf // Education~Secondary + Higher // NUnder5~0,Education,aGroup,Residence,PoorerHousehold,Ethnicity,NUnder5,,
MICS,Individual,Afghanistan,2010,0,No,MobilePhone,No Analysis,,,,,,0,,,,,,,,,,
MICS,Women,Afghanistan,2010,0,No,ProfessionalHelp ~ PoorerHousehold + Residence + aGroup + MarritalStatus + NUnder5 + Education,4864.935646,0.386468962759225,0.066609301659815,0.771257717089221,0.258595120376235,0.184097280901668,0.587160436187553,MAX-leaf // Residence ~ Urban // NUnder5 ~ 0 + 1,MIN-leaf // Residence~Rural // PoorerHousehold~1 // aGroup~25-34 + 35+,Residence,PoorerHousehold,Education,NUnder5,aGroup,MarritalStatus,,
MICS,Women,Afghanistan,2010,0,No,ContraceptiveMethod,No Analysis,,,,,,0,,,,,,,,,,
MICS,Individual,Afghanistan,2010,0,No,InternetUse,No Analysis,,,,,,0,,,,,,,,,,
MICS,Individual,Afghanistan,2010,0,No,ChildMarriage15 ~ PoorerHousehold + Residence + Education,4109.608656,0.150369680358197,0.355572022865625,0.191609764197342,0.123588993384678,0.057434296771,0.134175467426342,MAX-leaf // Education ~ Lower // PoorerHousehold ~ 1,MIN-leaf // Education~Secondary + Higher,Education,PoorerHousehold,,,,,,
MICS,Individual,Afghanistan,2010,0,No,ChildMarriage18 ~ PoorerHousehold + Residence + Education,4109.608656,0.403820901188991,0.355572022865625,0.509346842510458,0.123588993384678,0.162227659264227,0.347119183246231,MAX-leaf // Education ~ Lower // PoorerHousehold ~ 1,MIN-leaf // Education~Secondary + Higher,Education,PoorerHousehold,,,,,,
MICS,Women,Afghanistan,2010,0,No,TeenPregnancy ~ PoorerHousehold + Residence + Education,5510.407727,0.139479893880455,0.32853563922857,0.176936486562457,0.22237234968947,0.048679478158,0.128257008404457,MAX-leaf // Education ~ Lower // Residence ~ Rural // PoorerHousehold ~ 1,MIN-leaf // Education~Secondary + Higher,Education,Residence,PoorerHousehold,,,,,
MICS,Women,Afghanistan,2010,0,No,AdolescentBirthRate ~ PoorerHousehold + Residence + Education,4109.608656,0.356487235800683,0.355572022865625,0.461391565790833,0.123588993384678,0.130318244983593,0.33107332080724,MAX-leaf // Education ~ Lower // PoorerHousehold ~ 1,MIN-leaf // Education~Secondary + Higher,Education,PoorerHousehold,Residence,,,,,
MICS,Women,Afghanistan,2010,0,No,ReasonBeating ~ PoorerHousehold + Residence + aGroup + NUnder5 + Education,21290.172133,0.902483518168369,0.194853509360303,0.963744111404414,0.10946181329308,0.770281250728098,0.193462860676316,MAX-leaf // Education ~ Lower // aGroup ~ 25-34 // Residence ~ Rural // NUnder5 ~ 1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9,MIN-leaf // Education~Secondary + Higher,Education,aGroup,Residence,NUnder5,,,,
MICS,Individual,Afghanistan,2010,0,No,MobilePhone,No Analysis,,,,,,0,,,,,,,,,,
DHS,Women,Afghanistan,2015,1,No,ContraceptiveMethod ~ PoorerHousehold + Residence + aGroup + Under5 + Education,13482.711327,0.421318156803106,0.165698376077083,0.668295709831816,0.166801254692472,0.311940495878659,0.356355213953157,MAX-leaf // Under5 ~ 0,MIN-leaf // Under5~2 + 3 + 4 // Residence~Rural // PoorerHousehold~1,Under5,Residence,PoorerHousehold,Education,aGroup,,,
