"SurveyIndicator","IndicatorName.x","SurveyID","meanY","maxY","minY","Source","dataOrlando","surveyID","country_code","version_code","dataset","IndicatorName.y","MeanY","dataValidation","IndicatorName","diffY"
"AFG2010+AccessElectricity","AccessElectricity","AFG2010","0.432169681883751","0.432169681883751","0.432169681883751","MICS",1,"AFG2010","Afghanistan","2010","hh","AccessElectricity","0.432169681883751",1,"AccessElectricity",0
"AFG2010+BankCardHH","BankCardHH","AFG2010","0.055570403463878","0.055570403463878","0.055570403463878","MICS",1,"AFG2010","Afghanistan","2010","hh","BankCardHH","0.0555704034638777",1,"BankCardHH",3.05311331771918e-16
"AFG2010+BasicWater","BasicWater","AFG2010","0.502815056136693","0.502815056136693","0.502815056136693","MICS",1,"AFG2010","Afghanistan","2010","hh","BasicWater","0.495641521639744",1,"BasicWater",0.00717353449694896
"AFG2010+CleanFuel","CleanFuel","AFG2010","0.165096462535664","0.165096462535664","0.165096462535664","MICS",1,"AFG2010","Afghanistan","2010","hh","CleanFuel","0.165689038927518",1,"CleanFuel",0.000592576391853977
"AFG2010+HigherEducation2535","HigherEducation2535","AFG2010","0.034523047372166","0.034523047372166","0.034523047372166","MICS",1,"AFG2010","Afghanistan","2010","hl","HigherEducation2535","0.0345230473721661",1,"HigherEducation2535",9.71445146547012e-17
"AFG2010+HigherEducation35plus","HigherEducation35plus","AFG2010","0.028914392264406","0.028914392264406","0.028914392264406","MICS",1,"AFG2010","Afghanistan","2010","hl","HigherEducation35plus","0.0288701195180259",1,"HigherEducation35plus",4.42727463801015e-05
"AFG2010+MobilePhoneHH","MobilePhoneHH","AFG2010","0.694635997095326","0.694635997095326","0.694635997095326","MICS",1,"AFG2010","Afghanistan","2010","hh","MobilePhoneHH","0.694635997095326",1,"MobilePhoneHH",0
"AFG2010+ProfessionalHelp","ProfessionalHelp","AFG2010","0.386468962759225","0.386468962759225","0.386468962759225","MICS",1,"AFG2010","Afghanistan","2010","wm","ProfessionalHelp","0.386468962759225",1,"ProfessionalHelp",0
"AFG2010+ReasonBeating","ReasonBeating","AFG2010","0.902483518168369","0.902483518168369","0.902483518168369","MICS",1,"AFG2010","Afghanistan","2010","wm","ReasonBeating","0.902483518168369",1,"ReasonBeating",0
"AFG2010+SafeSanitation","SafeSanitation","AFG2010","0.281478264935127","0.281478264935127","0.281478264935127","MICS",1,"AFG2010","Afghanistan","2010","hh","SafeSanitation","0.27547733130064",1,"SafeSanitation",0.006000933634487
"AFG2010+SecondaryEducation2035","SecondaryEducation2035","AFG2010","0.092892700090984","0.092892700090984","0.092892700090984","MICS",1,"AFG2010","Afghanistan","2010","hl","SecondaryEducation2035","0.100192215029267",1,"SecondaryEducation2035",0.007299514938283
"AFG2010+SecondaryEducation35plus","SecondaryEducation35plus","AFG2010","0.056900571764222","0.056900571764222","0.056900571764222","MICS",1,"AFG2010","Afghanistan","2010","hl","SecondaryEducation35plus","0.0749818441589002",1,"SecondaryEducation35plus",0.0180812723946782
"AFG70+AccessElectricity","AccessElectricity","AFG70","0.714547224664736","0.714547224664736","0.714547224664736","DHS",1,"AFG70","AF","70","HR","AccessElectricity","0.714547224664736",1,"AccessElectricity",0
"AFG70+AllViolence","AllViolence","AFG70","0.555603217636581","0.555603217636581","0.555603217636581","DHS",1,"AFG70","AF","70","IR","AllViolence","0.554706333179989",1,"AllViolence",0.000896884456592084
"AFG70+BasicWater","BasicWater","AFG70","0.582784755146049","0.582784755146049","0.582784755146049","DHS",1,"AFG70","AF","70","HR","BasicWater","0.582784755146049",1,"BasicWater",0
"AFG70+CleanFuel","CleanFuel","AFG70","0.327669684746497","0.327669684746497","0.327669684746497","DHS",1,"AFG70","AF","70","HR","CleanFuel","0.327669684746497",1,"CleanFuel",0
"AFG70+ContraceptiveMethod","ContraceptiveMethod","AFG70","0.421318156803106","0.421318156803106","0.421318156803106","DHS",1,"AFG70","AF","70","IR","ContraceptiveMethod","0.421318156803106",1,"ContraceptiveMethod",0
"AFG70+Covid","Covid","AFG70","0.01933922711363","0.01933922711363","0.01933922711363","DHS",1,"AFG70","AF","70","PR","Covid","0.0193392271136295",1,"Covid",4.9960036108132e-16
"AFG70+EmotionalViolence","EmotionalViolence","AFG70","0.373084323590269","0.373084323590269","0.373084323590269","DHS",1,"AFG70","AF","70","IR","EmotionalViolence","0.373219300309136",1,"EmotionalViolence",0.00013497671886703
"AFG70+HandWashPR","HandWashPR","AFG70","0.274204577022807","0.274204577022807","0.274204577022807","DHS",1,"AFG70","AF","70","PR","HandWashPR","0.274204577022807",1,"HandWashPR",0
"AFG70+HigherEducation2535","HigherEducation2535","AFG70","0.055055699798737","0.055055699798737","0.055055699798737","DHS",1,"AFG70","AF","70","PR","HigherEducation2535","0.0576009726258198",1,"HigherEducation2535",0.0025452728270828
"AFG70+HigherEducation35plus","HigherEducation35plus","AFG70","0.031432316618695","0.031432316618695","0.031432316618695","DHS",1,"AFG70","AF","70","PR","HigherEducation35plus","0.0357422134560392",1,"HigherEducation35plus",0.0043098968373442
"AFG70+LearningPR","LearningPR","AFG70","0.947337938310963","0.947337938310963","0.947337938310963","DHS",1,"AFG70","AF","70","PR","LearningPR","0.947337938310963",1,"LearningPR",0
"AFG70+NotCrowdedPR","NotCrowdedPR","AFG70","0.177096553352396","0.177096553352396","0.177096553352396","DHS",1,"AFG70","AF","70","PR","NotCrowdedPR","0.177096553352396",1,"NotCrowdedPR",0
