VarName,NickName,DataSet,DataType,IndicatorType,Comment
SH110B,SolarElectricity,HR,Factor,AccessElectricity,
HV230B,HandWashWater,HR,Factor,AuxResonpse,
HV232,HandWashSoap,HR,Factor,AuxResonpse,
HV232C,HandWashSoap2,HR,Factor,AuxResonpse,
HV232D,HandWashSoap3,HR,Factor,AuxResonpse,
HV232E,HandWashSoap4,HR,Factor,AuxResonpse,
HV009,NumberMember,HR,Factor,AuxResonpse,
HV001,cluster_id,HR,ID,ID,
HHID,HHID,HR,ID,ID,
HV002,HouseholdNumber,HR,ID,ID,
HV003,RLNumber,HR,ID,ID,
HV024,Region,HR,ID,ID,
V131,Ethnicity,HR,Factor,IndependentV,
HV219,HHSex,HR,Factor,IndependentV,
HV024,Region,HR,Factor,IndependentV,
HV217,Relationship,HR,Factor,IndependentV,
HV025,Residence,HR,Factor,IndependentV,
HV270,PoorerHousehold,HR,Factor,IndependentV,# wealth Quintiles
HV220,HHAge,HR,INT,IndependentV,
HV014,Under5,HR,INT,IndependentV,
HV106,HighestEducation,HR,String,IndependentV,# HouseholdEducation
RegionName,RegionName,HR,ID,IndependentV,
RegionName,RegionName,HR,ID,IndependentV,
HV206,AccessElectricity,HR,Factor,ResponseV,"# \""PoorerHousehold\"
HV247,BankCardHH,HR,Factor,ResponseV,"# \""PoorerHousehold\"
HV226,CleanFuel,HR,Factor,ResponseV,"# \""PoorerHousehold\"
HV201,CleanWater,HR,Factor,ResponseV,"# \""PoorerHousehold\"
HV201,BasicWater,HR,Factor,ResponseV,"# \""PoorerHousehold\"
HV201,HouseholdBasic,HR,Factor,ResponseV,"# \""PoorerHousehold\"
HV243A,HouseholdTechNeed,HR,Factor,ResponseV,"# \""PoorerHousehold\"
HV244,Land,HR,Factor,ResponseV,"# for rural only, \""PoorerHousehold\"
HV243A,MobilePhoneHH,HR,Factor,ResponseV,"# \""PoorerHousehold\"
HV247,MultiDeprivation,HR,Factor,ResponseV,# no definition
HV205,SafeSanitation,HR,Factor,ResponseV,"# \""PoorerHousehold\"
HV230A,HandWash,HR,Factor,ResponseV,# place observed
HV216,NotCrowded,HR,Factor,ResponseV0,#Number of HH members
HV225,SharedToilet,HR,Factor,SafeSanitation,
HV005,SampleWeight,HR,INT,Weight,
HV204,WaterTime,HR,INT,AuxResonpse,
V044,ViolenceInterview,IR,Factor,AuxResonpse,
V213,CurrentlyPregnant,IR,Factor,AuxResonpse,
V011,BirthDate,IR,numeric,AuxResonpse,CMC date of birth of respondent
V008,InterviewDate,IR,numeric,AuxResonpse,
V626A,UnmetNeed,IR,Factor,ContraceptiveMethod,# V626 sometimes
CASEID,CASEID,IR,ID,ID,
V001,cluster_id,IR,ID,ID,
V002,HouseholdNumber,IR,ID,ID,
V003,RLNumber,IR,ID,ID,
V024,Region,IR,ID,ID,"# For de jure region of residence, see V139"
V106,Education,IR,Factor,IndependentV,
V502,MarriageStatus,IR,Factor,IndependentV,
V024,Region,IR,Factor,IndependentV,
V025,Residence,IR,Factor,IndependentV,
V190,PoorerHousehold,IR,Factor,IndependentV,# wealth Quintiles
V012,aGroup,IR,INT,IndependentV,# Age
V012,Age,IR,INT,IndependentV,# Age
HIDX,NUnder5,IR,String,IndependentV,# BirthHistory
V201,NumberBirths,IR,String,IndependentV,
MIDX,BirthHistory,IR,String,ProfessionalHelp,
V131,Ethnicity,IR,INT,IndependentV,
RegionName,RegionName,IR,ID,IndependentV,
V190A,WealthIndex,IR,ID,IndependentV,# For Papua New Guinea 2018 Analysis
M3A,ProfessionalAssitance1,IR,String,ProfessionalHelp,
M3B,ProfessionalAssitance2,IR,String,ProfessionalHelp,
M3C,ProfessionalAssitance3,IR,String,ProfessionalHelp,
M3D,ProfessionalAssitance4,IR,String,ProfessionalHelp,
M3E,ProfessionalAssitance5,IR,String,ProfessionalHelp,
M3F,ProfessionalAssitance6,IR,String,ProfessionalHelp,
V730,HusbandAge,IR,INT,IndependentV,
V730,AgeDifference,IR,INT,IndependentV,
V701,HusbandEducation,IR,Factor,IndependentV,
V701,EducationDifference,IR,Factor,IndependentV,
V705,HusbandOccupation,IR,Factor,IndependentV,
D113,HusbandAlcohol,IR,Factor,IndependentV,
D121,FatherBeatMother,IR,Factor,IndependentV,
D101A,Jealousy,IR,Factor,MaritalControl,
D101B,Unfaithful,IR,Factor,MaritalControl,
D101C,FemaleFriend,IR,Factor,MaritalControl,
D101D,FamilyContact,IR,Factor,MaritalControl,
D101E,WhereAbout,IR,Factor,MaritalControl,
V743A,DecisionHealth,IR,Factor,WifeDecisionPower,
V743B,DecisionPurchase,IR,Factor,WifeDecisionPower,
V743D,DecisionVisit,IR,Factor,WifeDecisionPower,
V313,ContraceptiveMethod,IR,Factor,ResponseV,"# \""PoorerHousehold\"
HIDX,ProfessionalHelp,IR,Factor,ResponseV,"# \""PoorerHousehold\"
V481,HealthInsurance,IR,Factor,ResponseV,"# \""PoorerHousehold\"
V171A,InternetUse,IR,Factor,ResponseV,"# \""PoorerHousehold\"
V511,ChildMarriage15,IR,Factor,ResponseV,
V511,ChildMarriage18,IR,Factor,ResponseV,
D104,AllViolence,IR,Factor,ResponseV0,#emotional
D106,AllViolence,IR,Factor,ResponseV0,#physical
D107,AllViolence,IR,Factor,ResponseV0,#physical
D108,AllViolence,IR,Factor,ResponseV0,#sexual
D103A,AllViolence,IR,Factor,ResponseV,#emotional
D103B,AllViolence,IR,Factor,ResponseV,#emotional
D103C,AllViolence,IR,Factor,ResponseV,#emotional
D105A,AllViolence,IR,Factor,ResponseV,#physical
D105B,AllViolence,IR,Factor,ResponseV,#physical
D105C,AllViolence,IR,Factor,ResponseV,#physical
D105D,AllViolence,IR,Factor,ResponseV,#physical
D105E,AllViolence,IR,Factor,ResponseV,#physical
D105F,AllViolence,IR,Factor,ResponseV,#physical
D105H,AllViolence,IR,Factor,ResponseV,#physical
D105I,AllViolence,IR,Factor,ResponseV,#physical
D105J,AllViolence,IR,Factor,ResponseV,#physical
D105K,AllViolence,IR,Factor,ResponseV,#physical
D104,NoAllViolence,IR,Factor,ResponseV0,#emotional
D106,NoAllViolence,IR,Factor,ResponseV0,#physical
D107,NoAllViolence,IR,Factor,ResponseV0,#physical
D108,NoAllViolence,IR,Factor,ResponseV0,#sexual
D103A,NoAllViolence,IR,Factor,ResponseV,#emotional
D103B,NoAllViolence,IR,Factor,ResponseV,#emotional
D103C,NoAllViolence,IR,Factor,ResponseV,#emotional
D105A,NoAllViolence,IR,Factor,ResponseV,#physical
D105B,NoAllViolence,IR,Factor,ResponseV,#physical
D105C,NoAllViolence,IR,Factor,ResponseV,#physical
D105D,NoAllViolence,IR,Factor,ResponseV,#physical
D105E,NoAllViolence,IR,Factor,ResponseV,#physical
D105F,NoAllViolence,IR,Factor,ResponseV,#physical
D105H,NoAllViolence,IR,Factor,ResponseV,#physical
D105I,NoAllViolence,IR,Factor,ResponseV,#physical
D105J,NoAllViolence,IR,Factor,ResponseV,#physical
D105K,NoAllViolence,IR,Factor,ResponseV,#physical
D105A,SexualPhysicalViolence,IR,Factor,ResponseV,
D105B,SexualPhysicalViolence,IR,Factor,ResponseV,
D105C,SexualPhysicalViolence,IR,Factor,ResponseV,
D105D,SexualPhysicalViolence,IR,Factor,ResponseV,
D105E,SexualPhysicalViolence,IR,Factor,ResponseV,
D105F,SexualPhysicalViolence,IR,Factor,ResponseV,
D105H,SexualPhysicalViolence,IR,Factor,ResponseV,
D105I,SexualPhysicalViolence,IR,Factor,ResponseV,
D105J,SexualPhysicalViolence,IR,Factor,ResponseV,
D105K,SexualPhysicalViolence,IR,Factor,ResponseV,
D105A,NoSexualPhysicalViolence,IR,Factor,ResponseV,
D105B,NoSexualPhysicalViolence,IR,Factor,ResponseV,
D105C,NoSexualPhysicalViolence,IR,Factor,ResponseV,
D105D,NoSexualPhysicalViolence,IR,Factor,ResponseV,
D105E,NoSexualPhysicalViolence,IR,Factor,ResponseV,
D105F,NoSexualPhysicalViolence,IR,Factor,ResponseV,
D105H,NoSexualPhysicalViolence,IR,Factor,ResponseV,
D105I,NoSexualPhysicalViolence,IR,Factor,ResponseV,
D105J,NoSexualPhysicalViolence,IR,Factor,ResponseV,
D105K,NoSexualPhysicalViolence,IR,Factor,ResponseV,
D105K,SexualViolence,IR,Factor,ResponseV,
D105I,SexualViolence,IR,Factor,ResponseV,
D105H,SexualViolence,IR,Factor,ResponseV,
D108,NoSexualViolence,IR,Factor,ResponseV,
D105K,NoSexualViolence,IR,Factor,ResponseV,
D105I,NoSexualViolence,IR,Factor,ResponseV,
D105H,NoSexualViolence,IR,Factor,ResponseV,
D105A,PhysicalViolence,IR,Factor,ResponseV,
D105B,PhysicalViolence,IR,Factor,ResponseV,
D105C,PhysicalViolence,IR,Factor,ResponseV,
D105D,PhysicalViolence,IR,Factor,ResponseV,
D105E,PhysicalViolence,IR,Factor,ResponseV,
D105F,PhysicalViolence,IR,Factor,ResponseV,
D105J,PhysicalViolence,IR,Factor,ResponseV,
D105A,NoPhysicalViolence,IR,Factor,ResponseV,
D105B,NoPhysicalViolence,IR,Factor,ResponseV,
D105C,NoPhysicalViolence,IR,Factor,ResponseV,
D105D,NoPhysicalViolence,IR,Factor,ResponseV,
D105E,NoPhysicalViolence,IR,Factor,ResponseV,
D105F,NoPhysicalViolence,IR,Factor,ResponseV,
D105J,NoPhysicalViolence,IR,Factor,ResponseV,
D103A,EmotionalViolence,IR,Factor,ResponseV,
D103B,EmotionalViolence,IR,Factor,ResponseV,
D103C,EmotionalViolence,IR,Factor,ResponseV,
D103A,NoEmotionalViolence,IR,Factor,ResponseV,
D103B,NoEmotionalViolence,IR,Factor,ResponseV,
D103C,NoEmotionalViolence,IR,Factor,ResponseV,
V169B,MobileFinance,IR,Factor,ResponseV,
S929,BankAccount,IR,Factor,ResponseV,
V170,FinancialInclusion,IR,Factor,ResponseV,
V169B,FinancialInclusion,IR,Factor,ResponseV,
V208,TeenagePregnancy,IR,Factor,ResponseV0,
B8,AdolescentBirthRate,IR,numeric,ResponseV0,age of children
V201,AdolescentBirthRate,IR,numeric,ResponseV0,total children ever born
B3,AdolescentBirthRate,IR,numeric,ResponseV0,CMC date of birth of children
V005,SampleWeight,IR,INT,Weight,
D005,ViolenceWeight,IR,INT,Weight,
CASEID,CASEID,MR,ID,ID,
MV001,cluster_id,MR,ID,ID,
MV002,HouseholdNumber,MR,ID,ID,
MV003,RLNumber,MR,ID,ID,
MV024,Region,MR,ID,ID,"# For de jure region of residence, see MV139"
MV190,PoorerHousehold,MR,Factor,IndependentV,
MV024,Region,MR,Factor,IndependentV,
MV025,Residence,MR,Factor,IndependentV,
MV012,Age,MR,INT,IndependentV,
MV012,aGroup,MR,INT,IndependentV,
MV502,MarriageStatus,MR,Factor,IndependentV,
MV106,Education,MR,Factor,IndependentV,
MV201,TotalChildren,MR,INT,IndependentV,
RegionName,RegionName,MR,ID,IndependentV,
MV481,HealthInsurance,MR,Factor,MresponseV,# if health insurance was asked for men's recode
MV171A,InternetUse,MR,Factor,MresponseV,# if internetuse is asked in men's recode
MV511,ChildMarriage15,MR,Factor,MresponseV,# If men's recode file exists with marriage information
MV511,ChildMarriage18,MR,Factor,MresponseV,# If men's recode file exists with marriage information
MV169B,MobileFinance,MR,Factor,MresponseV,
MV170,BankAccount,MR,Factor,MresponseV,
MV170,FinancialInclusion,MR,Factor,MresponseV,
MV169B,FinancialInclusion,MR,Factor,MresponseV,
MV005,SampleWeight,MR,INT,Weight,
HV108,SchoolYear,PR,INT,AuxResonpse,
HV117,Eligible,PR,Factor,AuxResonpse,
HV116,EverMarried,PR,Factor,AuxResonpse,
HV001,cluster_id,PR,ID,ID,
HHID,HHID,PR,ID,ID,
HV002,HouseholdNumber,PR,ID,ID,
HVIDX,RLNumber,PR,ID,ID,
V024,Region,PR,ID,ID,
HV112,MotherLineNumber,PR,ID,ID,
HV109,Education,PR,Factor,IndependentV,
HV131,Ethnicity,PR,Factor,IndependentV,
HC61,MotherEducation,PR,Factor,IndependentV,
HV024,Region,PR,Factor,IndependentV,
HV025,Residence,PR,Factor,IndependentV,
HV104,Sex,PR,Factor,IndependentV,
HV270,PoorerHousehold,PR,Factor,IndependentV,# wealth Quintiles
HV105,Age,PR,INT,IndependentV,
HV014,Under5,PR,INT,IndependentV,
HV105,aGroup,PR,INT,IndependentV,
HV014,TeenagePregnancy,PR,INT,PresponseV0,
HV013,AdolescentBirthRate,PR,numeric,PresponseV0,not used in the calculation
HV109,HigherEducation2535,PR,Factor,ResponseV,"# \""PoorerHousehold\"
HV109,HigherEducation35plus,PR,Factor,ResponseV,"# \""PoorerHousehold\"
HC72,NotOverweight,PR,Factor,ResponseV,"# \""PoorerHousehold\"
HC70,NotStunting,PR,Factor,ResponseV,"# \""PoorerHousehold\"
HC72,NotWasting,PR,Factor,ResponseV,"# \""PoorerHousehold\"
HC72,Overweight,PR,Factor,ResponseV,"# \""PoorerHousehold\"
HV109,SecondaryEducation2035,PR,Factor,ResponseV,"# \""PoorerHousehold\"
HV109,SecondaryEducation35plus,PR,Factor,ResponseV,"# \""PoorerHousehold\"
HC70,Stunting,PR,Factor,ResponseV,"# \""PoorerHousehold\"
HC72,Wasting,PR,Factor,ResponseV,"# \""PoorerHousehold\"
HV247,BankCardPR,PR,Factor,ResponseV0,
HC13,ChildHealth,PR,Factor,ResponseV0,"# \""PoorerHousehold\"
HV005,SampleWeight,PR,INT,Weight,
SH121U,Internet,PR,Factor,Learning,
SH37N,Internet,PR,Factor,Learning,
