NickName,DataSet,Key1,Key2,Key3,UsualVar,Default,Type,IndicatorType,DataType,VarName,Search_result
Privacy,wm,privacy,ensured,,DVD1,no,and,DomesticViolence,Factor,,
CurrentlyMarried,wm,currently married,living with a man,,MA1,no,and,DomesticViolence,Factor,,
EverMarried,wm,ever married,lived with a man,,MA5,no,and,DomesticViolence,Factor,,
Dvweight,wm,women selected,dv,sample weight,DVHWEIGHT,no,and,DomesticViolence,Factor,,
Push,wm,push,shake,throw,DVD5A,no,and,PhysicalViolence,Factor,,
Slap,wm,slap you,,,DVD5B,no,and,PhysicalViolence,Factor,,
Twist,wm,twist,pull,,DVD5C,no,and,PhysicalViolence,Factor,,
Punch,wm,punch,hurt,,DVD5D,no,and,PhysicalViolence,Factor,,
Kick,wm,kick,drag,beat,DVD5E,no,and,PhysicalViolence,Factor,,
Choke,wm,choke,burn,,DVD5F,no,and,PhysicalViolence,Factor,,
Attack,wm,knife,sharp,weapon,DVD5G,no,and,PhysicalViolence,Factor,,
ForcedSexualActs,wm,physically force,any sexual acts,did not want to,DVD5H,no,and,SexualViolence,Factor,,
OtherSexualActs,wm,physically force,any other sexual acts,did not want to,DVD5I,no,and,SexualViolence,Factor,,
ThreatSexualActs,wm,with threats,sexual acts,did not want to,DVD5J,no,and,SexualViolence,Factor,,
Humiliate,wm,say or do,humiliate,infront of others,DVD4A,no,and,EmotionalViolence,Factor,,
Threaten,wm,threaten,hurt or harm,someone,DVD4B,no,and,EmotionalViolence,Factor,,
Insult,wm,insult,feel bad,yourself,DVD4C,no,and,EmotionalViolence,Factor,,
PhysicalViolence,wm,no keywords,,,no keywords,no keywords,no keywords,ResponseV,Factor,,
NoPhysicalViolence,wm,no keywords,,,no keywords,no keywords,no keywords,ResponseV,Factor,,
SexualViolence,wm,no keywords,,,no keywords,no keywords,no keywords,ResponseV,Factor,,
NoSexualViolence,wm,no keywords,,,no keywords,no keywords,no keywords,ResponseV,Factor,,
EmotionalViolence,wm,no keywords,,,no keywords,no keywords,no keywords,ResponseV,Factor,,
NoEmotionalViolence,wm,no keywords,,,no keywords,no keywords,no keywords,ResponseV,Factor,,
SexualPhysicalViolence,wm,no keywords,,,no keywords,no keywords,no keywords,ResponseV,Factor,,
NoSexualPhysicalViolence,wm,no keywords,,,no keywords,no keywords,no keywords,ResponseV,Factor,,
AllViolence,wm,no keywords,,,no keywords,no keywords,no keywords,ResponseV,Factor,,
NoAllViolence,wm,no keywords,,,no keywords,no keywords,no keywords,ResponseV,Factor,,
