NickName,DataSet,Key1,Key2,Key3,UsualVar,Default,Type,IndicatorType,DataType
Internet,hh,Internet,,,HC13,no,and,Learning,Factor
Radio,hh,radio,,,HC7B,no,and,Learning,Factor
Television,hh,television,,,HC9A,no,and,Learning,Factor
Telephone,hh,fixed,line,telephone,HC7A,no,and,Learning,Factor
MobilePhonehh,hh,mobile,phone,,HC12,no,and,Learning,Factor
Wall,hh,main material,exterior wall,,HC6,no,and,WallRoof,Factor
Roof,hh,main material,roof,,HC5,no,and,WallRoof,Factor
Covid1,hl,no keywords,,,No keywords,No keywords,No keywords,ResponseV,Factor
Covid2,hl,no keywords,,,No keywords,No keywords,No keywords,ResponseV,Factor
EducationHL,hl,highest,level,education,ED5A,no,or23,IndependentV,Factor
aGroupHL,hl,age,,,HL6,no,Only,IndependentV,numeric
