surveyname,varName,DataType,Major categories,pct of the rest,Total,,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan2010,Ethnicity,Code,,,Total,,2,1,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan2010,Ethnicity,PctByCount,1 + 2,15.7,94.2233442233442,,52.2572023,32.0908821,9.7564598,0.1188001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan2010,Ethnicity,Name,,,Total,,Dari,Pashto,Uzbek/Turkmen,Missing/DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan2010,Ethnicity,PctByCount,,,94.2233442233442,,52.2572023,32.0908821,9.7564598,0.1188001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Bangladesh 2019 Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh2019,Religion,Code,,,Total,,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh2019,Religion,PctByCount,1 + 2,7.2,95.0962732919255,,83.8975155,8.9332298,1.7934783,0.4720497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh2019,Religion,Name,,,Total,,MUSLIM,HINDU,BUDDHISM,CHRISTIANITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh2019,Religion,PctByCount,,,95.0962732919255,,83.8975155,8.9332298,1.7934783,0.4720497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Bangladesh 2019 Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh2019,Ethnicity,Code,,,Total,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh2019,Ethnicity,PctByCount,1,7.3,95.0962732919255,,92.746894,2.349379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh2019,Ethnicity,Name,,,Total,,Bengali,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh2019,Ethnicity,PctByCount,,,95.0962732919255,,92.746894,2.349379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Bangladesh 2019 Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh2019,Language,Code,,,Total,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh2019,Language,PctByCount,Not used,,95.0962732919255,,93.208075,1.888199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh2019,Language,Name,,,Total,,BANGLA,OTHER LANGUAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh2019,Language,PctByCount,,,95.0962732919255,,93.208075,1.888199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Georgia 2018 Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia2018,Religion,Code,,,Total,,1,5,3,7,6,2,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia2018,Religion,PctByCount,1 + 5,19.2,86.8980169971671,,74.06515581,6.71388102,2.89660057,1.33852691,0.86402266,0.70113314,0.29036827,0.02832861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia2018,Religion,Name,,,Total,,ORTHODOX,MUSLIM,ARMENIAN APOSTOLIC,NO RELIGION,OTHER RELIGION,CATHOLIC,NO RESPONSE,JUDAISM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia2018,Religion,PctByCount,,,86.8980169971671,,74.06515581,6.71388102,2.89660057,1.33852691,0.86402266,0.70113314,0.29036827,0.02832861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Georgia 2018 Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia2018,Ethnicity,Code,,,Total,,1,3,2,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia2018,Ethnicity,PctByCount,1,22.7,86.8980169971671,,77.30878187,4.17847025,2.86827195,2.45750708,0.08498584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia2018,Ethnicity,Name,,,Total,,Georgian,Armenian,Azeri,Other,Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia2018,Ethnicity,PctByCount,,,86.8980169971671,,77.30878187,4.17847025,2.86827195,2.45750708,0.08498584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Georgia 2018 Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia2018,Language,Code,,,Total,,1,3,2,4,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia2018,Language,PctByCount,Not used,,86.8980169971671,,78.32152975,3.6898017,2.75495751,1.28186969,0.75779037,0.09206799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia2018,Language,Name,,,Total,,GEORGIAN,ARMENIAN,AZERBAIJANI,RUSSIAN,OTHER LANGUAGE,NO RESPONSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia2018,Language,PctByCount,,,86.8980169971671,,78.32152975,3.6898017,2.75495751,1.28186969,0.75779037,0.09206799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Kazakhstan 2010 Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
