DataSet,SurveyName,NickName,Levels,Labels,Note
hh,Afghanistan2010,Ethnicity,1,Pashto,
hh,Afghanistan2010,Ethnicity,2,Dari,
hh,Afghanistan2010,Ethnicity,3,UzbekTurkmen,
hh,Bangladesh2019,Ethnicity0,1,Bengali,not usable because Bengali is 97.5% now
hh,Bangladesh2019,Religion,1,MUSLIM,
hh,Bangladesh2019,Religion0,2,HINDU,merged into minority
hh,Georgia2018,Ethnicity,1,Georgian,
hh,Georgia2018,Religion,1,ORTHODOX,
hh,Georgia2018,Religion,5,MUSLIM,
hh,Kazakhstan2010,Ethnicity,1,Kazakh,
hh,Kazakhstan2010,Ethnicity,2,Russian,
hh,Kazakhstan2010,Religion,1,Islam,
hh,Kazakhstan2010,Religion,2,Christian,
hh,Kazakhstan2015,Ethnicity,1,Kazakh,
hh,Kazakhstan2015,Ethnicity,2,Russian,
hh,Kiribati2019,Ethnicity0,1,Kiribati,not usable because Kiribati is 95.3% now
hh,Kiribati2019,Religion,1,RomanCatholic,
hh,Kiribati2019,Religion,2,ProtestantChurch,
hh,Kiribati2019,Religion,3,UnitingChurch,
hh,Kiribati2019,Religion,4,LatterDaySaints,
hh,Kyrgyzstan2014,Religion,1,Islam,
hh,Kyrgyzstan2018,Ethnicity,1,Kyrgyz,
hh,Kyrgyzstan2018,Ethnicity,2,Russian,
hh,Kyrgyzstan2018,Ethnicity,3,Uzbek,
hh,Lao2011,Ethnicity,1,Lao,
hh,Lao2011,Ethnicity,2,Khmu,
hh,Lao2011,Ethnicity,3,Hmong,
hh,Lao2011,Religion,1,Buddhist,
hh,Lao2011,Religion,2,Animist,
hh,Lao2017,Ethnicity,1,Lao-Tai,
hh,Lao2017,Ethnicity,2,Mon-Khmer,
hh,Lao2017,Ethnicity,3,Hmong-Mien,
hh,Lao2017,Religion,1,BUDDHIST,
hh,Lao2017,Religion0,4,ANIMIST,not usable because remaining religions are too small
hh,Mongolia2013,Ethnicity,1,Khalkh,
hh,Mongolia2013,Religion,1,NoReligion,
hh,Mongolia2013,Religion,2,Buddhist,
hh,Mongolia2018,Ethnicity,1,Khalkh,
hh,Mongolia2018,Ethnicity,2,Kazakh,
hh,Mongolia2018,Religion,1,NoReligion,
hh,Mongolia2018,Religion,2,Buddhist,
hh,Mongolia2018,Religion0,3,Muslim,not usable because remaining religions are too small
hh,Nepal2019,Language,1,Nepali,
hh,Nepal2019,Language,2,Maithili,
hh,Nepal2019,Language,5,Tamang,
hh,Nepal2019,Language,4,Tharu,
hh,Nepal2019,Language,3,Bhojpuri,added
hh,Nepal2019,Religion,1,Hindu,
hh,Nepal2019,Religion0,2,Buddhist,not usable because remaining religions are too small
hh,Thailand2012,Ethnicity0,1,Thai,not usable because thai  is 98.1% now
hh,Thailand2012,Religion,1,Buddhism,
hh,Thailand2015,Language,1,Thai,
hh,Thailand2015,Religion,1,BUDDHISM,
hh,Thailand2015,Religion0,2,ISLAM,not usable because remaining religions are too small
hh,Thailand2019,Language,1,Thai,
hh,Thailand2019,Religion,1,BUDDHISM,
hh,Thailand2019,Religion0,2,ISLAM,not usable because remaining religions are too small
hh,Tonga2019,Ethnicity0,1,Tonga,not usable because tongan  is 97% now
hh,Tonga2019,Religion,1,FreeWesleyanChurch,
hh,Tonga2019,Religion,2,LatterDaySaints,
hh,Tonga2019,Religion,3,RomanCatholic,
hh,Tonga2019,Religion,4,FreeChurchTonga,
hh,Turkmenistan2015,Language,1,TURKMEN,
hh,Turkmenistan2015,Language0,2,UZBEK,not usable because other language is too small
hh,Turkmenistan2015,Language,3,RUSSIAN,
hh,Turkmenistan2019,Language,1,TURKMEN,
hh,Turkmenistan2019,Language0,2,UZBEK,not usable because other language is too small
hh,Turkmenistan2019,Language,3,RUSSIAN,
hh,Tuvalu2019,Ethnicity,1,Tuvaluan,
hh,Tuvalu2019,Religion,1,EKT,
hh,Vietnam2010,Ethnicity,1,Kinh,
hh,Vietnam2010,Religion,1,Buddhism,
hh,Vietnam2010,Religion,5,ChristianCatholic,
hh,Vietnam2010,Religion,7,NoReligion,
hh,VietNam2013,Ethnicity,1,Kinh,
hh,VietNam2013,Religion,1,Buddhism,
hh,VietNam2013,Religion,5,Catholic,
hh,VietNam2013,Religion,97,NoReligion,
hh,Samoa2019,Religion,1,CongregationalChristian,
hh,Samoa2019,Religion,3,LaterDaySaints,
hh,Samoa2019,Religion,2,Catholic,
hh,Samoa2019,Religion,5,AssembleOfGod,
hh,Samoa2019,Religion,4,Methodist,
hh,Samoa2019,Ethnicity0,1,Samoa,not usable because Samoan is 98% now
